EmployeeID,Experience(yrs),TaskAssigned,TaskCompleted,DeadlinesMet,DeadlinesMissed,number of EOM,EOM points (agg) ,EOY(points),Manager Score,Holidays Taken,Number of overtime
1,3,394,323,112,71,12,404,66,32,39,19
2,14,233,32,3,201,12,92,7,51,92,80
3,23,340,190,39,150,6,866,17,73,90,112
4,4,228,36,25,192,2,696,4,79,128,6
5,15,331,194,126,137,0,211,88,24,148,10
6,0,380,360,239,20,1,959,36,46,98,62
7,0,273,134,118,139,1,71,44,69,125,113
8,23,204,144,100,60,7,161,63,85,16,112
9,15,348,340,319,8,0,801,21,58,125,53
10,2,110,110,78,0,12,866,6,37,68,54
11,26,307,268,31,39,7,96,33,21,121,96
12,12,244,101,27,143,10,922,83,53,25,70
13,9,411,207,89,204,8,903,19,8,56,117
14,8,48,10,0,38,0,521,81,94,61,26
15,29,230,103,102,127,1,693,83,90,60,3
16,3,413,134,25,279,8,771,4,87,48,130
17,17,29,13,13,16,5,866,31,3,143,78
18,17,324,72,70,252,11,1165,94,88,97,24
19,4,223,90,90,133,4,79,40,70,147,39
20,4,331,168,163,163,1,714,71,92,25,230
21,7,14,14,12,0,1,811,20,9,122,95
22,21,66,14,10,52,9,237,50,39,68,22
23,6,293,291,93,2,5,441,48,88,92,6
24,30,111,98,84,13,11,1091,59,20,41,209
25,19,361,343,226,18,4,1129,54,22,130,64
26,23,373,267,45,106,4,863,14,96,16,12
27,25,223,28,1,195,12,167,8,43,107,125
28,29,273,177,10,96,8,947,20,49,40,201
29,2,120,8,6,112,10,469,0,81,18,92
30,26,269,95,56,174,12,830,50,68,66,99
31,11,99,90,80,9,6,105,56,41,72,81
32,7,204,142,47,62,12,744,56,23,104,85
33,0,235,28,27,207,12,921,45,77,54,22
34,15,227,202,21,25,12,1053,33,5,144,55
35,0,268,208,124,60,3,626,47,63,52,58
36,3,461,359,29,102,10,922,24,1,50,24
37,10,338,288,33,50,12,1159,17,11,93,135
38,9,322,98,39,224,1,10,14,99,150,96
39,18,36,14,0,22,0,1089,29,18,70,102
40,12,208,183,131,25,11,976,39,7,95,105
41,21,95,42,40,53,2,874,47,91,124,104
42,21,288,53,2,235,5,287,66,24,111,13
43,10,144,95,29,49,6,400,63,38,148,95
44,23,19,19,10,0,6,730,66,84,6,163
45,12,88,9,6,79,1,438,18,69,57,39
46,0,459,135,71,324,3,96,48,73,48,171
47,1,377,255,237,122,6,122,47,11,44,153
48,15,424,50,29,374,1,602,64,10,126,23
49,2,195,148,53,47,10,1080,17,37,64,6
50,21,351,99,64,252,7,817,2,69,77,137
51,25,326,159,105,167,0,257,89,30,62,105
52,5,132,21,3,111,8,462,80,3,7,232
53,17,273,128,17,145,7,625,7,100,65,4
54,20,83,19,1,64,8,913,51,17,86,67
55,16,46,29,6,17,12,205,12,36,33,130
56,11,243,50,15,193,12,1158,72,58,90,25
57,28,312,192,135,120,6,433,33,83,132,94
58,18,217,35,19,182,10,973,20,68,149,8
59,23,393,202,96,191,5,385,58,95,130,31
60,5,370,272,194,98,11,972,20,47,99,65
61,13,484,60,40,424,7,434,41,6,15,195
62,0,206,139,40,67,1,457,85,64,119,24
63,23,494,178,77,316,4,6,94,79,40,202
64,18,220,96,85,124,7,326,28,9,86,27
65,19,255,58,41,197,6,536,69,4,111,15
66,17,211,147,37,64,4,524,31,39,146,100
