
input orientation, VRS
DMU,Efficiency
1.000000,0.550577
2.000000,0.096611
3.000000,0.122324
4.000000,0.052277
5.000000,0.084064
6.000000,0.192928
7.000000,0.053639
8.000000,0.283923
9.000000,0.433645
10.000000,1.000000
11.000000,0.153725
12.000000,0.419483
13.000000,0.117003
14.000000,0.176274
15.000000,0.688550
16.000000,0.210279
17.000000,0.041641
18.000000,1.000000
19.000000,0.042419
20.000000,0.338664
21.000000,0.093438
22.000000,0.089797
23.000000,0.700072
24.000000,1.000000
25.000000,0.226426
26.000000,1.000000
27.000000,0.138383
28.000000,0.380944
29.000000,0.180505
30.000000,0.424391
31.000000,0.094201
32.000000,0.245609
33.000000,0.485225
34.000000,0.307654
35.000000,0.114996
36.000000,0.380057
37.000000,1.000000
38.000000,0.202090
39.000000,0.088032
40.000000,0.247755
41.000000,0.117311
42.000000,0.054207
43.000000,0.044661
44.000000,1.000000
45.000000,0.053856
46.000000,0.182186
47.000000,0.124110
48.000000,0.060818
49.000000,0.240211
50.000000,0.100210
51.000000,0.209214
52.000000,0.240716
53.000000,0.569424
54.000000,0.076141
55.000000,0.358095
56.000000,0.531137
57.000000,0.222567
58.000000,0.082808
59.000000,0.265265
60.000000,0.190056
61.000000,0.305249
62.000000,0.075355
63.000000,1.000000
64.000000,0.062253
65.000000,0.053518
66.000000,0.049118
67.000000,0.264434
68.000000,0.711802
69.000000,0.080376
70.000000,0.772189
71.000000,0.204028
72.000000,0.205354
73.000000,0.127160
74.000000,0.579375
75.000000,0.115385
76.000000,0.235515
77.000000,0.857203
78.000000,1.000000
79.000000,1.000000
80.000000,0.281666
81.000000,0.068674
82.000000,1.000000
83.000000,0.482646
84.000000,0.110613
85.000000,0.480502
86.000000,0.388062
87.000000,0.036200
88.000000,0.102130
89.000000,1.000000
90.000000,0.046432
91.000000,1.000000
92.000000,0.067837
93.000000,0.310036
94.000000,0.163893
95.000000,0.052863
96.000000,1.000000
97.000000,0.298285
98.000000,0.043800
99.000000,0.076421
100.000000,1.000000
101.000000,0.190482
102.000000,0.144436
103.000000,0.082157
104.000000,0.974216
105.000000,1.000000
106.000000,0.126669
107.000000,0.173678
108.000000,0.663996
109.000000,0.558012
110.000000,1.000000
111.000000,0.106232
112.000000,0.175593
113.000000,0.094512
114.000000,0.179119
115.000000,0.407057
116.000000,1.000000
117.000000,0.048273
118.000000,0.197829
119.000000,0.137255
120.000000,0.047412
121.000000,0.624465
122.000000,0.076984
123.000000,0.393283
124.000000,0.229401
125.000000,0.169453
126.000000,0.673967
127.000000,1.000000
128.000000,0.053792
129.000000,0.261238
130.000000,0.154484
131.000000,0.045523
132.000000,0.102664
133.000000,0.064931
134.000000,0.278606
135.000000,0.381664
136.000000,0.107124
137.000000,0.089442
138.000000,0.125765
139.000000,1.000000
140.000000,0.050145
141.000000,0.092970
142.000000,0.071914
143.000000,0.225332
144.000000,0.225398
145.000000,0.149712
146.000000,0.670297
147.000000,0.065820
148.000000,0.498698
149.000000,0.116814
150.000000,1.000000
151.000000,1.000000
152.000000,0.442305
153.000000,0.239666
154.000000,0.102637
155.000000,0.367480
156.000000,1.000000
157.000000,0.235993
158.000000,1.000000
159.000000,0.224681
160.000000,0.060925
161.000000,0.274196
162.000000,1.000000
163.000000,0.089787
164.000000,0.059094
165.000000,0.171547
166.000000,0.216595
167.000000,0.276205
168.000000,0.465430
169.000000,0.290654
170.000000,0.104788
171.000000,0.047672
172.000000,0.046725
173.000000,1.000000
174.000000,0.035345
175.000000,0.458259
176.000000,0.667332
177.000000,0.189367
178.000000,0.430422
179.000000,1.000000
180.000000,0.481103
181.000000,0.118468
182.000000,0.077586
183.000000,1.000000
184.000000,0.663219
185.000000,1.000000
186.000000,0.145389
187.000000,1.000000
188.000000,0.164911
189.000000,0.058243
190.000000,0.127097
191.000000,0.117425
192.000000,0.041700
193.000000,0.088782
194.000000,0.185524
195.000000,0.104516
196.000000,0.536278
197.000000,0.377611
198.000000,1.000000
199.000000,0.300704
200.000000,0.072322
201.000000,1.000000
202.000000,0.095291
203.000000,0.234971
204.000000,1.000000
205.000000,0.221202
206.000000,0.805087
207.000000,0.301438
208.000000,0.143880
209.000000,1.000000
210.000000,0.749128
211.000000,0.288815
212.000000,0.635218
213.000000,0.075081
214.000000,0.160899
215.000000,0.802090
216.000000,0.185361
217.000000,0.124356
218.000000,0.417224
219.000000,1.000000
220.000000,0.658342
221.000000,0.175364
222.000000,0.357457
223.000000,0.192845
224.000000,0.356522
225.000000,0.383518
226.000000,1.000000
227.000000,1.000000
228.000000,0.172253
229.000000,0.636369
230.000000,1.000000
231.000000,0.051647
232.000000,0.112050
233.000000,1.000000
234.000000,0.137434
235.000000,0.120275
236.000000,0.255063
237.000000,0.659143
238.000000,0.356978
239.000000,1.000000
240.000000,0.165161
241.000000,0.120846
242.000000,0.428657
243.000000,0.048231
244.000000,0.093714
245.000000,1.000000
246.000000,0.093023
247.000000,0.186605
248.000000,0.441542
249.000000,1.000000
250.000000,0.079073
251.000000,0.749286
252.000000,0.220631
253.000000,1.000000
254.000000,1.000000
255.000000,0.156866
256.000000,0.066593
257.000000,0.264453
258.000000,1.000000
259.000000,0.095364
260.000000,0.535759
261.000000,0.116215
262.000000,1.000000
263.000000,0.318328
264.000000,0.815885
265.000000,0.044737
266.000000,0.109353
267.000000,0.277148
268.000000,0.108814
269.000000,0.274807
270.000000,0.076219
271.000000,1.000000
272.000000,0.271886
273.000000,0.679204
274.000000,1.000000
275.000000,0.112222
276.000000,0.078507
277.000000,0.975942
278.000000,1.000000
279.000000,0.282527
280.000000,0.298981
281.000000,0.040972
282.000000,0.361025
283.000000,0.627083
284.000000,0.049548
285.000000,1.000000
286.000000,0.094436
287.000000,0.074859
288.000000,1.000000
289.000000,0.673371
290.000000,0.130578
291.000000,0.059363
292.000000,0.226971
293.000000,0.279720
294.000000,0.088295
295.000000,0.100520
296.000000,0.878736
297.000000,0.185131
298.000000,1.000000
299.000000,0.439644
300.000000,1.000000
301.000000,0.144425
302.000000,1.000000
303.000000,0.116303
304.000000,1.000000
305.000000,0.165366
306.000000,0.184786
307.000000,0.123785
308.000000,0.272156
309.000000,0.101997
310.000000,1.000000
311.000000,0.101719
312.000000,0.083102
313.000000,0.421045
314.000000,0.203208
315.000000,1.000000
316.000000,0.795103
317.000000,0.522038
318.000000,0.124554
319.000000,0.287063
320.000000,0.152830
321.000000,0.072110
322.000000,0.061224
323.000000,0.084255
324.000000,1.000000
325.000000,0.100529
326.000000,1.000000
327.000000,0.133038
328.000000,0.651623
329.000000,0.389742
330.000000,1.000000
331.000000,0.303372
332.000000,0.073640
333.000000,1.000000
334.000000,0.084565
335.000000,1.000000
336.000000,1.000000
337.000000,0.454353
338.000000,0.102674
339.000000,0.077971
340.000000,0.290956
341.000000,0.543781
342.000000,0.030450
343.000000,0.239966
344.000000,0.039911
345.000000,0.715917
346.000000,0.112550
347.000000,0.444713
348.000000,0.206192
349.000000,0.788794
350.000000,0.466456
351.000000,0.290746
352.000000,0.413479
353.000000,0.053674
354.000000,0.139883
355.000000,0.066063
356.000000,1.000000
357.000000,0.487042
358.000000,0.818537
359.000000,0.176649
360.000000,1.000000
361.000000,0.257915
362.000000,0.356605
363.000000,0.482463
364.000000,0.097431
365.000000,0.137064
366.000000,0.094296
367.000000,0.089350
368.000000,1.000000
369.000000,0.164197
370.000000,0.103298
371.000000,0.076307
372.000000,0.058723
373.000000,0.157894
374.000000,1.000000
375.000000,1.000000
376.000000,1.000000
377.000000,0.188586
378.000000,0.184366
379.000000,0.057200
380.000000,1.000000
381.000000,1.000000
382.000000,0.212190
383.000000,0.324919
384.000000,0.921129
385.000000,1.000000
386.000000,0.088816
387.000000,0.119160
388.000000,0.086671
389.000000,0.055031
390.000000,0.230313
391.000000,0.087352
392.000000,0.088747
393.000000,1.000000
394.000000,1.000000
395.000000,0.042268
396.000000,0.338074
397.000000,0.058730
398.000000,0.271471
399.000000,0.181535
400.000000,0.241607
401.000000,0.204379
402.000000,0.047198
403.000000,0.448315
404.000000,1.000000
405.000000,1.000000
406.000000,0.886702
407.000000,1.000000
408.000000,0.121565
409.000000,0.114254
410.000000,0.699410
411.000000,1.000000
412.000000,0.757023
413.000000,0.064960
414.000000,0.282238
415.000000,0.371247
416.000000,0.917689
417.000000,0.274515
418.000000,1.000000
419.000000,0.064756
420.000000,1.000000
421.000000,0.674894
422.000000,0.099082
423.000000,0.116660
424.000000,0.133086
425.000000,0.095071
426.000000,1.000000
427.000000,0.525900
428.000000,0.074169
429.000000,0.090023
430.000000,1.000000
431.000000,0.101975
432.000000,1.000000
433.000000,0.214411
434.000000,1.000000
435.000000,0.504622
436.000000,0.093855
437.000000,0.077801
438.000000,0.167168
439.000000,0.123465
440.000000,1.000000
441.000000,0.481722
442.000000,0.143418
443.000000,1.000000
444.000000,0.071855
445.000000,0.295472
446.000000,1.000000
447.000000,1.000000
448.000000,0.139362
449.000000,1.000000
450.000000,0.277809
451.000000,0.153663
452.000000,0.123490
453.000000,0.074152
454.000000,1.000000
455.000000,0.069536
456.000000,0.812290
457.000000,0.298287
458.000000,1.000000
459.000000,1.000000
460.000000,0.793378
