
input orientation, VRS
DMU,Efficiency,Holidays Taken,DeadlinesMissed,Experience(yrs),number of EOM,EOY(points),DeadlinesMet,TaskAssigned,EOM points (agg),Manager Score,TaskCompleted,VRS
1.000000,0.550577,0.015052,0.005817,0.000000,0.829660,0.014174,0.000000,0.002332,0.001250,0.000000,0.000000,-11.764674
2.000000,0.096611,0.007398,0.001589,0.000000,0.058714,0.000000,0.000000,0.000187,0.000000,0.000000,0.000000,-0.651462
3.000000,0.122324,0.003365,0.004648,0.001728,0.016301,0.000000,0.000000,0.000919,0.000117,0.003893,0.000000,-0.713380
4.000000,0.052277,0.004010,0.002535,0.000000,0.000000,0.000000,0.000000,0.000221,0.000077,0.002432,0.000000,-0.243563
5.000000,0.084064,0.005105,0.001784,0.002538,0.000000,0.001610,0.000000,0.000311,0.000000,0.000000,0.000000,-0.198569
6.000000,0.192928,0.003510,0.032800,0.000000,0.000000,0.000000,0.000000,0.000454,0.000224,0.000184,0.000000,-0.202857
7.000000,0.053639,0.004991,0.002706,0.000000,0.000000,0.000000,0.000000,0.000159,0.000000,0.000721,0.000000,-0.039633
8.000000,0.283923,0.018477,0.011739,0.014217,0.007475,0.000000,0.001388,0.001570,0.000000,0.017972,0.000000,-2.082130
9.000000,0.433645,0.002034,0.093226,0.000000,0.000000,0.000000,0.001645,0.000000,0.000297,0.002257,0.000000,-0.459970
10.000000,1.000000,0.014706,1.240202,0.004760,0.153751,0.000000,0.007853,0.000000,0.000633,0.000000,0.000000,-2.015369
11.000000,0.153725,0.005019,0.010069,0.020170,0.000000,0.000000,0.000000,0.000726,0.000000,0.000000,0.000000,-0.593592
12.000000,0.419483,0.017388,0.003953,0.000000,0.170556,0.020129,0.000000,0.000706,0.001257,0.003414,0.000000,-4.468958
13.000000,0.117003,0.010177,0.002108,0.000000,0.030098,0.000000,0.000000,0.001731,0.000490,0.000000,0.000000,-1.277823
14.000000,0.176274,0.012732,0.005878,0.000000,0.000000,0.001469,0.000000,0.000259,0.000169,0.010564,0.000000,-1.036185
15.000000,0.688550,0.009434,0.003417,0.152606,0.000000,0.030239,0.001110,0.002178,0.000891,0.020610,0.000000,-9.333567
16.000000,0.210279,0.003646,0.002957,0.000000,0.009909,0.000000,0.000000,0.000868,0.000064,0.003773,0.000000,-0.604889
17.000000,0.041641,0.005327,0.014887,0.000000,0.000000,0.000000,0.000000,0.000197,0.000057,0.000000,0.000000,-0.013156
18.000000,1.000000,0.008937,0.000528,0.000089,0.140969,0.022722,0.000000,0.000071,0.003310,0.023648,0.000000,-8.648708
19.000000,0.042419,0.004564,0.002475,0.000000,0.000000,0.000000,0.000000,0.000146,0.000000,0.000659,0.000000,-0.036242
20.000000,0.338664,0.010327,0.004551,0.000000,0.000000,0.012866,0.002462,0.000000,0.000231,0.014899,0.000000,-2.511502
21.000000,0.093438,0.008197,0.181225,0.000000,0.000000,0.000000,0.001071,0.000000,0.000520,0.000000,0.000000,-0.341092
22.000000,0.089797,0.010447,0.005570,0.000000,0.010767,0.000324,0.000000,0.000000,0.000000,0.000000,0.000000,-0.023310
23.000000,0.700072,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.011612,0.000897,0.114007,0.000000,-13.130665
24.000000,1.000000,0.015436,0.028240,0.040837,0.130163,0.000000,0.001897,0.000000,0.000956,0.000000,0.000000,-2.859638
25.000000,0.226426,0.004603,0.022313,0.018539,0.000000,0.000000,0.000000,0.000803,0.000514,0.000000,0.000000,-0.996261
26.000000,1.000000,0.023114,0.005945,0.054930,0.000000,0.000000,0.000000,0.003405,0.001116,0.054393,0.000000,-7.718088
27.000000,0.138383,0.006760,0.001419,0.008411,0.065676,0.000000,0.000000,0.000273,0.000000,0.000000,0.000000,-0.920916
28.000000,0.380944,0.008047,0.007064,0.170707,0.113487,0.000000,0.000000,0.002950,0.000637,0.002902,0.000000,-7.028315
29.000000,0.180505,0.024921,0.004923,0.000000,0.052058,0.000000,0.000000,0.000530,0.000009,0.002783,0.000000,-0.633517
30.000000,0.424391,0.007604,0.002863,0.016958,0.368044,0.000000,0.000000,0.000836,0.000634,0.000000,0.000000,-5.184064
31.000000,0.094201,0.011636,0.018022,0.000000,0.000000,0.000000,0.000146,0.000177,0.000000,0.000000,0.000000,0.064993
32.000000,0.245609,0.008314,0.002183,0.000000,0.352066,0.004393,0.000000,0.000543,0.000420,0.000000,0.000000,-4.648017
33.000000,0.485225,0.009078,0.002463,0.000000,0.583293,0.003203,0.000000,0.000373,0.000890,0.012364,0.000000,-8.518072
