
input orientation, VRS
DMU,Category,Original,Target,Radial,Non-radial
1.000000,Holidays Taken,39.000000,21.472495,-17.527505,0.000000
0.550577,DeadlinesMissed,71.000000,39.090953,-31.909047,0.000000
,Experience(yrs),3.000000,16.431982,0.000000,13.431982
,number of EOM,12.000000,12.000000,0.000000,0.000000
,EOY(points),66.000000,66.000000,0.000000,-0.000000
,DeadlinesMet,112.000000,189.618280,0.000000,77.618280
,TaskAssigned,394.000000,394.000000,0.000000,0.000000
,EOM points (agg),404.000000,404.000001,0.000000,0.000001
,Manager Score,32.000000,49.605891,0.000000,17.605891
,TaskCompleted,323.000000,354.909047,0.000000,31.909047
2.000000,Holidays Taken,92.000000,8.888170,-83.111830,0.000000
0.096611,DeadlinesMissed,201.000000,19.418720,-181.581280,0.000000
,Experience(yrs),14.000000,17.175515,0.000000,3.175515
,number of EOM,12.000000,12.000000,0.000000,0.000000
,EOY(points),7.000000,36.611715,0.000000,29.611715
,DeadlinesMet,3.000000,121.211992,0.000000,118.211992
,TaskAssigned,233.000000,233.000002,0.000000,0.000002
,EOM points (agg),92.000000,196.926303,0.000000,104.926303
,Manager Score,51.000000,57.383906,0.000000,6.383906
,TaskCompleted,32.000000,213.581282,0.000000,181.581282
3.000000,Holidays Taken,90.000000,11.009182,-78.990817,-0.000000
0.122324,DeadlinesMissed,150.000000,18.348637,-131.651363,-0.000000
,Experience(yrs),23.000000,23.000000,0.000000,0.000000
,number of EOM,6.000000,6.000000,0.000000,0.000000
,EOY(points),17.000000,46.958246,0.000000,29.958246
,DeadlinesMet,39.000000,157.191353,0.000000,118.191353
,TaskAssigned,340.000000,340.000002,0.000000,0.000002
,EOM points (agg),866.000000,866.000005,0.000000,0.000005
,Manager Score,73.000000,73.000001,0.000000,0.000001
,TaskCompleted,190.000000,321.651365,0.000000,131.651365
4.000000,Holidays Taken,128.000000,6.691420,-121.308580,0.000000
0.052277,DeadlinesMissed,192.000000,10.037130,-181.962870,0.000000
,Experience(yrs),4.000000,15.192179,0.000000,11.192179
,number of EOM,2.000000,5.323291,0.000000,3.323291
,EOY(points),4.000000,52.475277,0.000000,48.475277
,DeadlinesMet,25.000000,59.820450,0.000000,34.820450
,TaskAssigned,228.000000,228.000000,0.000000,-0.000000
