
input orientation, VRS
DMU,Efficiency,Holidays Taken,DeadlinesMissed,Experience(yrs),number of EOM,EOY(points),DeadlinesMet,TaskAssigned,EOM points (agg),Manager Score,TaskCompleted,VRS
1.000000,0.550577,0.587017,0.412983,0.000000,9.955918,0.935507,0.000000,0.918652,0.505174,0.000000,0.000000,-11.764674
2.000000,0.096611,0.680639,0.319361,0.000000,0.704567,0.000000,0.000000,0.043505,0.000000,0.000000,0.000000,-0.651462
3.000000,0.122324,0.302839,0.697161,0.039733,0.097806,0.000000,0.000000,0.312307,0.101663,0.284196,0.000000,-0.713380
4.000000,0.052277,0.513305,0.486695,0.000000,0.000000,0.000000,0.000000,0.050437,0.053314,0.192089,0.000000,-0.243563
5.000000,0.084064,0.755544,0.244456,0.038064,0.000000,0.141680,0.000000,0.102889,0.000000,0.000000,0.000000,-0.198569
6.000000,0.192928,0.343995,0.656005,0.000000,0.000000,0.000000,0.000000,0.172576,0.214767,0.008442,0.000000,-0.202857
7.000000,0.053639,0.623855,0.376145,0.000000,0.000000,0.000000,0.000000,0.043523,0.000000,0.049748,0.000000,-0.039633
8.000000,0.283923,0.295636,0.704364,0.326982,0.052326,0.000000,0.138842,0.320288,0.000000,1.527616,0.000000,-2.082130
9.000000,0.433645,0.254194,0.745806,0.000000,0.000000,0.000000,0.524860,0.000000,0.237833,0.130922,0.000000,-0.459970
10.000000,1.000000,1.000000,0.000000,0.009521,1.845007,0.000000,0.612516,0.000000,0.548325,0.000000,0.000000,-2.015369
11.000000,0.153725,0.607292,0.392708,0.524432,0.000000,0.000000,0.000000,0.222885,0.000000,0.000000,0.000000,-0.593592
12.000000,0.419483,0.434705,0.565295,0.000000,1.705557,1.670743,0.000000,0.172259,1.158963,0.180919,0.000000,-4.468958
13.000000,0.117003,0.569887,0.430113,0.000000,0.240785,0.000000,0.000000,0.711603,0.442438,0.000000,0.000000,-1.277823
14.000000,0.176274,0.776654,0.223346,0.000000,0.000000,0.118997,0.000000,0.012448,0.088026,0.992988,0.000000,-1.036185
15.000000,0.688550,0.566068,0.433932,4.425583,0.000000,2.509849,0.113200,0.500874,0.617732,1.854878,0.000000,-9.333567
16.000000,0.210279,0.174992,0.825008,0.000000,0.079275,0.000000,0.000000,0.358439,0.049212,0.328242,0.000000,-0.604889
17.000000,0.041641,0.761808,0.238192,0.000000,0.000000,0.000000,0.000000,0.005704,0.049092,0.000000,0.000000,-0.013156
18.000000,1.000000,0.866881,0.133119,0.001512,1.550664,2.135828,0.000000,0.023090,3.856632,2.080982,0.000000,-8.648708
19.000000,0.042419,0.670885,0.329115,0.000000,0.000000,0.000000,0.000000,0.032510,0.000000,0.046151,0.000000,-0.036242
20.000000,0.338664,0.258163,0.741837,0.000000,0.000000,0.913515,0.401253,0.000000,0.164686,1.370711,0.000000,-2.511502
21.000000,0.093438,1.000000,0.000000,0.000000,0.000000,0.000000,0.012850,0.000000,0.421679,0.000000,0.000000,-0.341092
22.000000,0.089797,0.710362,0.289638,0.000000,0.096906,0.016201,0.000000,0.000000,0.000000,0.000000,0.000000,-0.023310
23.000000,0.700072,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,3.402326,0.395760,10.032650,0.000000,-13.130665
24.000000,1.000000,0.632878,0.367122,1.225125,1.431798,0.000000,0.159323,0.000000,1.043391,0.000000,0.000000,-2.859638
25.000000,0.226426,0.598358,0.401642,0.352236,0.000000,0.000000,0.000000,0.289874,0.580578,0.000000,0.000000,-0.996261
26.000000,1.000000,0.369820,0.630180,1.263391,0.000000,0.000000,0.000000,1.269981,0.963015,5.221701,0.000000,-7.718088
27.000000,0.138383,0.723332,0.276668,0.210264,0.788106,0.000000,0.000000,0.060929,0.000000,0.000000,0.000000,-0.920916
28.000000,0.380944,0.321892,0.678108,4.950501,0.907894,0.000000,0.000000,0.805385,0.603280,0.142199,0.000000,-7.028315
29.000000,0.180505,0.448574,0.551426,0.000000,0.520575,0.000000,0.000000,0.063632,0.004412,0.225402,0.000000,-0.633517
30.000000,0.424391,0.501867,0.498133,0.440908,4.416523,0.000000,0.000000,0.224779,0.526245,0.000000,0.000000,-5.184064
31.000000,0.094201,0.837804,0.162196,0.000000,0.000000,0.000000,0.011682,0.017526,0.000000,0.000000,0.000000,0.064993
32.000000,0.245609,0.864660,0.135340,0.000000,4.224789,0.245980,0.000000,0.110670,0.312187,0.000000,0.000000,-4.648017
33.000000,0.485225,0.490215,0.509785,0.000000,6.999513,0.144133,0.000000,0.087645,0.819953,0.952053,0.000000,-8.518072
34.000000,0.307654,0.907357,0.092643,0.194794,8.021587,0.000000,0.000000,0.337528,2.364218,0.000000,0.000000,-10.610473
35.000000,0.114996,0.615148,0.384852,0.000000,0.000000,0.000000,0.000000,0.101274,0.000000,0.107663,0.000000,-0.093941
36.000000,0.380057,0.480816,0.519184,0.000000,0.487072,0.000000,0.000000,1.909941,0.550185,0.000000,0.000000,-2.567141
37.000000,1.000000,0.424691,0.575309,0.013058,7.256722,0.000000,0.000000,0.791607,5.368851,0.000000,0.000000,-12.430238
38.000000,0.202090,0.351851,0.648149,0.000000,0.000000,0.000000,0.000000,0.229884,0.000000,1.548767,0.000000,-1.576561
39.000000,0.088032,0.460836,0.539164,0.033836,0.000000,0.000000,0.000000,0.000000,1.634562,0.000000,0.000000,-1.580366
40.000000,0.247755,0.690772,0.309228,0.086585,0.910490,0.000000,0.066606,0.000000,0.428975,0.000000,0.000000,-1.244902
41.000000,0.117311,0.756081,0.243919,0.000000,0.000000,0.000000,0.025714,0.000000,0.105123,0.573569,0.000000,-0.587095
42.000000,0.054207,0.594538,0.405462,0.070224,0.000000,0.103241,0.000000,0.103008,0.000000,0.000000,0.000000,-0.222266
43.000000,0.044661,0.745101,0.254899,0.000000,0.012372,0.037962,0.000000,0.018883,0.000000,0.000107,0.000000,-0.024662
44.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
45.000000,0.053856,0.514567,0.485433,0.003291,0.000000,0.000000,0.000000,0.023450,0.000000,0.072123,0.000000,-0.045008
46.000000,0.182186,0.496830,0.503170,0.000000,0.000000,0.090821,0.000000,1.985476,0.000000,0.426177,0.000000,-2.320289
47.000000,0.124110,0.509958,0.490042,0.000000,0.016279,0.000000,0.000000,0.115774,0.000000,0.000000,0.000000,-0.007943
48.000000,0.060818,0.546221,0.453779,0.030330,0.000000,0.069503,0.000000,0.108419,0.000000,0.000000,0.000000,-0.147433
49.000000,0.240211,0.537667,0.462333,0.000000,0.295208,0.000000,0.000000,0.079911,0.844484,0.010886,0.000000,-0.990278
50.000000,0.100210,0.390574,0.609426,0.013429,0.110704,0.000000,0.000000,0.156375,0.064491,0.139262,0.000000,-0.384050
51.000000,0.209214,0.613222,0.386778,0.504594,0.000000,0.347708,0.000000,0.249976,0.000000,0.000000,0.000000,-0.893064
52.000000,0.240716,0.220696,0.779304,0.000000,0.352294,1.271353,0.000000,0.000000,0.143440,0.000000,0.000000,-1.526371
53.000000,0.569424,0.603615,0.396385,0.000000,0.268282,0.000000,0.000000,0.964009,0.000000,80.679382,0.000000,-81.342249
54.000000,0.076141,0.726342,0.273658,0.000416,0.082011,0.000000,0.000000,0.000000,0.033378,0.000000,0.000000,-0.039664
55.000000,0.358095,0.721346,0.278654,0.000000,5.017636,0.032349,0.000000,0.000000,0.091877,0.000000,0.000000,-4.783767
56.000000,0.531137,0.485710,0.514290,0.000000,5.577181,0.224054,0.000000,0.242438,1.826857,0.038581,0.000000,-7.377975
57.000000,0.222567,0.368823,0.631177,2.297683,0.044449,0.000000,0.000000,0.281381,0.000000,0.544186,0.000000,-2.945132
58.000000,0.082808,0.624137,0.375863,0.000000,0.111519,0.000000,0.000000,0.067471,0.065615,0.095847,0.000000,-0.257644
59.000000,0.265265,0.341225,0.658775,0.260487,0.000000,0.080780,0.000000,0.354248,0.000000,0.789510,0.000000,-1.219760
60.000000,0.190056,0.695718,0.304282,0.000000,0.252695,0.004418,0.033360,0.216147,0.171274,0.151555,0.000000,-0.639394
61.000000,0.305249,0.484266,0.515734,0.158181,0.000000,0.000000,0.000000,3.373791,0.000000,0.000000,0.000000,-3.226722
62.000000,0.075355,0.725477,0.274523,0.000000,0.000000,0.333681,0.000000,0.038599,0.014297,0.084243,0.000000,-0.395465
63.000000,1.000000,0.408201,0.591799,0.820280,0.000000,1.927927,0.000000,15.950702,0.000000,0.155716,0.000000,-17.854625
64.000000,0.062253,0.621004,0.378996,0.011816,0.015983,0.000000,0.000000,0.039432,0.000000,0.000000,0.000000,-0.004978
65.000000,0.053518,0.465285,0.534715,0.007924,0.017914,0.045235,0.000000,0.038750,0.006415,0.000000,0.000000,-0.062718
66.000000,0.049118,0.766480,0.233520,0.011316,0.001061,0.000000,0.000000,0.024334,0.000000,0.000000,0.000000,0.012406
67.000000,0.264434,0.330568,0.669432,0.333562,0.031949,0.000000,0.124836,0.073737,0.847599,0.979370,0.000000,-2.126619
68.000000,0.711802,0.314258,0.685742,0.861803,0.026791,0.188615,0.000000,1.383808,0.000000,1.413291,0.000000,-3.162507
69.000000,0.080376,0.626466,0.373534,0.000000,0.036152,0.000000,0.000000,0.092668,0.000000,0.021515,0.000000,-0.069960
