EmployeeID,Experience(yrs),TaskAssigned,TaskCompleted,DeadlinesMet,DeadlinesMissed,number of EOM,EOM points (agg) ,EOY(points),Manager Score,Holidays Taken,Efficiency
1,24,276,75,23,201,0,968,87,69,21,1.0
2,27,239,49,44,190,1,847,18,13,15,0.757532
3,27,384,346,342,38,5,340,69,48,135,1.0
4,20,277,276,128,1,6,956,58,0,137,1.0
5,12,93,0,39,93,10,494,17,17,96,0.078099
6,20,95,42,41,53,1,968,77,51,122,0.150449
7,5,5,1,0,4,12,312,88,8,61,1.0
8,7,69,31,21,38,4,823,57,11,69,0.16322
9,13,285,254,151,31,10,644,12,2,101,0.338987
10,12,209,31,137,178,2,938,6,70,117,0.142085
11,19,190,42,82,148,7,71,95,22,78,0.408812
12,28,307,283,226,24,5,800,41,60,45,1.0
13,20,258,158,56,100,7,947,27,100,137,1.0
14,0,19,10,4,9,4,1003,93,30,92,0.556253
15,2,181,126,93,55,9,183,50,35,111,0.061686
16,25,294,10,286,284,8,959,33,70,73,1.0
17,14,48,39,47,9,1,963,82,88,13,1.0
18,0,9,1,2,8,5,568,4,66,85,0.288046
19,12,205,169,99,36,4,624,55,24,90,0.185032
20,8,230,169,18,61,11,290,5,55,61,0.219899
21,20,325,32,119,293,11,641,63,20,12,1.0
22,19,100,17,72,83,3,134,16,99,106,0.513829
23,20,121,31,91,90,5,667,83,21,84,0.166431
24,3,42,39,33,3,12,243,21,89,97,1.0
25,26,48,38,23,10,0,1127,43,92,80,1.0
26,15,116,25,106,91,3,1008,59,4,45,0.310785
27,24,266,40,174,226,9,488,34,72,12,0.656286
28,4,127,22,9,105,6,727,20,3,88,0.097317
29,14,104,83,1,21,1,13,64,72,149,0.107493
30,7,319,125,78,194,0,254,38,85,41,0.317695
31,18,212,201,39,11,9,747,59,12,14,1.0
32,9,114,56,62,58,6,479,41,45,12,0.476514
33,10,276,229,49,47,8,361,41,3,108,0.14686
34,8,204,103,95,101,9,827,70,93,39,0.237433
35,28,336,191,104,145,11,1080,41,56,35,1.0
36,13,324,21,2,303,9,680,89,90,122,1.0
37,25,321,308,42,13,11,1100,39,10,129,1.0
38,16,369,130,203,239,9,128,77,84,146,1.0
39,6,392,14,346,378,7,1043,60,5,145,1.0
40,1,183,65,166,118,11,646,43,54,9,1.0
41,18,387,342,33,45,6,861,42,59,9,1.0
42,24,95,34,85,61,11,378,66,34,131,0.097638
43,23,267,105,132,162,9,390,62,61,22,0.293514
44,21,17,5,10,12,1,1054,11,71,106,0.361114
45,28,20,12,20,8,12,1062,67,89,10,1.0
46,1,333,263,279,70,12,1196,73,6,135,1.0
47,17,389,72,337,317,7,57,61,94,77,1.0
48,15,266,32,243,234,4,1024,39,39,68,0.46099
49,22,103,36,17,67,2,329,60,12,75,0.091316
50,26,5,3,4,2,9,574,65,15,116,1.0
51,6,108,91,14,17,0,430,75,46,91,0.197598
52,9,341,305,102,36,12,853,65,33,46,1.0
53,9,315,126,169,189,3,24,18,93,41,0.416369
54,7,256,203,101,53,9,335,35,99,106,1.0
55,2,76,43,10,33,11,1054,82,68,35,1.0
56,20,222,81,161,141,0,336,1,61,4,0.709426
57,18,29,25,15,4,3,803,100,62,149,1.0
58,9,299,285,48,14,0,7,77,73,127,0.370718
59,28,105,59,38,46,3,611,17,85,48,0.297218
60,3,58,28,39,30,1,983,98,73,93,1.0
61,27,220,203,179,17,10,823,76,98,10,1.0
62,16,56,1,51,55,3,233,13,6,60,0.10723
63,26,343,276,110,67,4,652,93,52,72,1.0
64,5,343,341,99,2,10,1014,40,9,84,1.0
65,26,298,64,138,234,4,716,25,87,143,0.331628
66,5,251,222,108,29,7,780,8,38,107,0.262876
67,1,66,51,9,15,2,1106,53,30,150,0.354892
68,5,249,53,58,196,12,114,65,24,14,1.0
69,14,98,53,79,45,10,189,51,21,95,0.098824
70,28,141,25,108,116,7,1030,68,10,81,0.467682
71,7,193,179,54,14,1,138,69,94,138,0.883899
72,20,222,130,99,92,10,741,89,78,20,1.0
73,19,200,28,27,172,4,1062,56,45,26,0.583829
74,13,223,181,104,42,7,79,90,100,105,1.0
75,27,263,78,91,185,8,932,96,58,96,1.0
76,26,378,54,49,324,4,538,69,74,101,1.0
77,8,285,29,274,256,12,0,12,22,126,1.0
78,16,361,18,343,343,10,871,66,76,147,1.0
79,5,311,182,294,129,4,383,25,34,64,0.355295
80,30,371,181,47,190,9,371,85,78,35,1.0
81,8,29,15,23,14,0,444,6,39,144,0.131298
82,24,142,24,131,118,8,75,12,33,57,0.094978
83,8,115,115,13,0,0,999,90,13,147,1.0
84,27,303,253,277,50,1,238,74,16,133,0.624027
85,0,184,73,123,111,3,291,57,75,127,0.05275
86,5,267,141,87,126,0,857,20,91,52,0.432018
87,4,167,51,53,116,2,355,72,30,52,0.121795
88,24,365,248,180,117,3,1002,21,60,68,1.0
89,7,85,39,78,46,11,867,46,47,59,0.173245
90,26,94,47,22,47,4,576,61,91,22,0.393424
91,13,242,53,55,189,6,1063,36,42,19,0.765228
92,28,30,9,16,21,4,522,93,40,31,1.0
93,1,40,19,19,21,11,853,27,30,37,0.307184
94,6,122,45,43,77,3,601,39,74,129,0.070143
95,20,316,179,152,137,4,322,75,97,50,1.0
96,16,192,140,23,52,2,463,88,50,146,0.182069
97,22,269,7,263,262,9,824,51,79,27,1.0
98,6,138,19,16,119,0,407,81,43,67,0.140423
99,13,328,180,172,148,4,224,40,2,108,0.142476
100,21,352,319,291,33,4,30,98,70,107,1.0
101,21,47,39,29,8,6,146,25,26,17,0.398071
102,5,212,135,126,77,8,891,72,91,31,0.460924
103,6,382,318,327,64,6,341,19,93,26,1.0
104,20,389,127,258,262,3,1025,46,21,6,1.0
105,15,219,94,41,125,6,581,55,14,58,0.135871
106,28,128,91,89,37,10,165,1,15,89,0.35873
107,10,175,136,158,39,3,129,93,86,13,1.0
108,2,389,169,4,220,3,255,78,82,90,1.0
109,19,11,7,7,4,7,937,80,24,96,0.581731
110,8,100,9,53,91,6,272,60,98,88,0.186813
111,17,141,141,30,0,10,515,99,80,51,1.0
112,27,221,55,128,166,11,789,3,52,39,0.92461
113,18,17,10,12,7,3,392,34,6,135,0.185788
114,9,50,39,10,11,3,505,24,73,48,0.323265
115,30,208,186,58,22,6,685,32,76,57,1.0
116,4,166,150,145,16,2,3,49,76,49,0.216989
117,23,39,5,29,34,0,1160,87,70,31,1.0
118,10,9,9,5,0,6,250,24,7,21,1.0
119,22,34,26,6,8,10,221,85,14,19,1.0
120,13,108,76,90,32,1,353,76,49,37,0.207863
121,8,6,2,1,4,2,329,73,88,96,1.0
122,11,291,46,30,245,2,4,24,29,77,0.086254
123,23,185,116,105,69,4,68,41,43,94,0.062816
124,15,50,32,37,18,0,922,100,73,32,1.0
125,16,48,41,17,7,6,455,6,12,8,0.923556
126,22,139,101,39,38,11,512,54,55,49,0.215484
127,19,305,275,20,30,3,996,48,57,106,0.421783
128,23,156,67,102,89,7,213,53,34,4,0.6
129,18,364,78,268,286,1,1091,12,95,116,1.0
130,2,109,94,73,15,2,576,46,2,102,0.199101
131,30,196,137,110,59,10,239,66,52,2,1.0
132,11,173,72,64,101,7,932,12,69,132,0.127935
133,25,385,70,304,315,9,271,0,41,128,1.0
134,28,302,95,13,207,8,686,77,86,11,1.0
135,26,87,46,45,41,11,71,34,12,50,0.171928
136,8,378,377,299,1,3,703,15,16,54,1.0
137,16,361,223,201,138,4,660,61,97,52,1.0
138,13,345,220,262,125,2,1067,80,22,32,1.0
139,18,93,89,24,4,7,322,79,9,12,1.0
140,28,261,53,139,208,12,690,13,67,128,1.0
141,20,338,183,258,155,7,962,37,99,133,1.0
142,2,322,52,321,270,7,225,24,12,97,0.460686
143,17,249,182,34,67,0,253,16,24,101,0.083892
144,4,267,48,233,219,2,934,61,8,90,0.3053
145,11,161,59,57,102,9,1169,27,7,30,1.0
146,17,36,23,8,13,2,810,46,81,80,0.32796
147,10,33,30,4,3,2,80,13,6,75,0.233333
148,7,13,5,7,8,6,503,26,65,30,0.45322
149,17,246,4,178,242,7,790,5,97,104,0.153611
150,8,132,50,99,82,12,339,26,14,88,0.502623
151,22,324,55,13,269,7,939,85,3,130,1.0
152,21,334,127,227,207,4,724,30,49,6,1.0
153,4,77,3,16,74,2,1046,5,9,19,0.498608
154,8,381,206,12,175,10,379,40,71,65,1.0
155,19,84,27,15,57,2,42,43,19,92,0.064684
156,26,243,162,91,81,7,241,28,77,11,0.575221
157,14,179,86,178,93,6,862,1,49,45,0.274269
158,30,256,80,31,176,0,158,90,56,42,1.0
159,6,313,196,69,117,8,153,29,56,120,0.108341
160,16,232,90,138,142,10,193,62,50,111,0.080695
161,29,343,316,28,27,2,614,17,8,76,1.0
162,24,298,104,64,194,2,301,94,49,75,0.671412
163,23,173,54,147,119,1,710,82,72,1,1.0
164,3,305,42,302,263,2,662,54,100,54,1.0
165,25,276,273,143,3,5,1101,92,82,59,1.0
166,26,178,110,42,68,1,58,55,68,127,0.047129
167,27,308,155,294,153,0,616,43,30,136,1.0
168,13,299,14,147,285,1,409,96,78,21,1.0
169,13,129,6,96,123,8,399,100,12,144,1.0
170,30,43,23,7,20,8,1180,74,41,48,1.0
171,10,120,47,38,73,2,1194,29,73,100,1.0
172,26,252,249,235,3,9,83,75,73,6,1.0
173,2,352,334,51,18,11,283,68,91,18,1.0
174,16,304,300,123,4,8,127,32,14,71,0.560857
175,26,119,89,86,30,0,1113,39,13,19,1.0
176,27,151,91,112,60,1,343,13,23,43,0.16086
177,7,250,28,100,222,10,520,81,4,108,0.179039
178,23,141,24,123,117,3,591,18,42,105,0.075389
179,24,48,37,26,11,3,323,91,92,83,1.0
180,10,226,208,120,18,7,1043,66,86,127,0.350996
181,11,34,18,18,16,5,253,30,63,48,0.196116
182,2,23,2,17,21,9,93,51,29,62,0.134052
183,17,41,32,15,9,12,370,65,43,20,1.0
184,22,141,100,29,41,11,152,89,46,33,0.918128
185,18,89,56,4,33,5,229,100,38,123,1.0
186,18,244,171,39,73,2,394,70,4,55,0.138068
187,14,305,67,294,238,8,1166,37,23,101,1.0
