EmployeeID,Experience(yrs),TaskAssigned,TaskCompleted,DeadlinesMet,DeadlinesMissed,number of EOM,EOM points (agg) ,EOY(points),Manager Score,Holidays Taken
1,24,276,75,23,201,0,968,87,69,21
2,27,239,49,44,190,1,847,18,13,15
3,27,384,346,342,38,5,340,69,48,135
4,20,277,276,128,1,6,956,58,0,137
5,12,93,0,39,93,10,494,17,17,96
6,20,95,42,41,53,1,968,77,51,122
7,5,5,1,0,4,12,312,88,8,61
8,7,69,31,21,38,4,823,57,11,69
9,13,285,254,151,31,10,644,12,2,101
10,12,209,31,137,178,2,938,6,70,117
11,19,190,42,82,148,7,71,95,22,78
12,28,307,283,226,24,5,800,41,60,45
13,20,258,158,56,100,7,947,27,100,137
14,0,19,10,4,9,4,1003,93,30,92
15,2,181,126,93,55,9,183,50,35,111
16,25,294,10,286,284,8,959,33,70,73
17,14,48,39,47,9,1,963,82,88,13
18,0,9,1,2,8,5,568,4,66,85
19,12,205,169,99,36,4,624,55,24,90
20,8,230,169,18,61,11,290,5,55,61
21,20,325,32,119,293,11,641,63,20,12
22,19,100,17,72,83,3,134,16,99,106
23,20,121,31,91,90,5,667,83,21,84
24,3,42,39,33,3,12,243,21,89,97
25,26,48,38,23,10,0,1127,43,92,80
26,15,116,25,106,91,3,1008,59,4,45
27,24,266,40,174,226,9,488,34,72,12
28,4,127,22,9,105,6,727,20,3,88
29,14,104,83,1,21,1,13,64,72,149
30,7,319,125,78,194,0,254,38,85,41
31,18,212,201,39,11,9,747,59,12,14
32,9,114,56,62,58,6,479,41,45,12
33,10,276,229,49,47,8,361,41,3,108
34,8,204,103,95,101,9,827,70,93,39
35,28,336,191,104,145,11,1080,41,56,35
36,13,324,21,2,303,9,680,89,90,122
37,25,321,308,42,13,11,1100,39,10,129
38,16,369,130,203,239,9,128,77,84,146
39,6,392,14,346,378,7,1043,60,5,145
40,1,183,65,166,118,11,646,43,54,9
41,18,387,342,33,45,6,861,42,59,9
42,24,95,34,85,61,11,378,66,34,131
43,23,267,105,132,162,9,390,62,61,22
44,21,17,5,10,12,1,1054,11,71,106
45,28,20,12,20,8,12,1062,67,89,10
46,1,333,263,279,70,12,1196,73,6,135
47,17,389,72,337,317,7,57,61,94,77
48,15,266,32,243,234,4,1024,39,39,68
49,22,103,36,17,67,2,329,60,12,75
50,26,5,3,4,2,9,574,65,15,116
51,6,108,91,14,17,0,430,75,46,91
52,9,341,305,102,36,12,853,65,33,46
53,9,315,126,169,189,3,24,18,93,41
54,7,256,203,101,53,9,335,35,99,106
55,2,76,43,10,33,11,1054,82,68,35
56,20,222,81,161,141,0,336,1,61,4
57,18,29,25,15,4,3,803,100,62,149
58,9,299,285,48,14,0,7,77,73,127
59,28,105,59,38,46,3,611,17,85,48
60,3,58,28,39,30,1,983,98,73,93
61,27,220,203,179,17,10,823,76,98,10
62,16,56,1,51,55,3,233,13,6,60
63,26,343,276,110,67,4,652,93,52,72
64,5,343,341,99,2,10,1014,40,9,84
65,26,298,64,138,234,4,716,25,87,143
66,5,251,222,108,29,7,780,8,38,107
67,1,66,51,9,15,2,1106,53,30,150
68,5,249,53,58,196,12,114,65,24,14
69,14,98,53,79,45,10,189,51,21,95
70,28,141,25,108,116,7,1030,68,10,81
71,7,193,179,54,14,1,138,69,94,138
72,20,222,130,99,92,10,741,89,78,20
73,19,200,28,27,172,4,1062,56,45,26
74,13,223,181,104,42,7,79,90,100,105
75,27,263,78,91,185,8,932,96,58,96
76,26,378,54,49,324,4,538,69,74,101
77,8,285,29,274,256,12,0,12,22,126
78,16,361,18,343,343,10,871,66,76,147
79,5,311,182,294,129,4,383,25,34,64
80,30,371,181,47,190,9,371,85,78,35
81,8,29,15,23,14,0,444,6,39,144
82,24,142,24,131,118,8,75,12,33,57
83,8,115,115,13,0,0,999,90,13,147
84,27,303,253,277,50,1,238,74,16,133
85,0,184,73,123,111,3,291,57,75,127
86,5,267,141,87,126,0,857,20,91,52
87,4,167,51,53,116,2,355,72,30,52
88,24,365,248,180,117,3,1002,21,60,68
89,7,85,39,78,46,11,867,46,47,59
90,26,94,47,22,47,4,576,61,91,22
91,13,242,53,55,189,6,1063,36,42,19
92,28,30,9,16,21,4,522,93,40,31
93,1,40,19,19,21,11,853,27,30,37
94,6,122,45,43,77,3,601,39,74,129
95,20,316,179,152,137,4,322,75,97,50
96,16,192,140,23,52,2,463,88,50,146
97,22,269,7,263,262,9,824,51,79,27
98,6,138,19,16,119,0,407,81,43,67
99,13,328,180,172,148,4,224,40,2,108
100,21,352,319,291,33,4,30,98,70,107
101,21,47,39,29,8,6,146,25,26,17
102,5,212,135,126,77,8,891,72,91,31
103,6,382,318,327,64,6,341,19,93,26
104,20,389,127,258,262,3,1025,46,21,6
105,15,219,94,41,125,6,581,55,14,58
106,28,128,91,89,37,10,165,1,15,89
107,10,175,136,158,39,3,129,93,86,13
108,2,389,169,4,220,3,255,78,82,90
109,19,11,7,7,4,7,937,80,24,96
110,8,100,9,53,91,6,272,60,98,88
111,17,141,141,30,0,10,515,99,80,51
112,27,221,55,128,166,11,789,3,52,39
113,18,17,10,12,7,3,392,34,6,135
114,9,50,39,10,11,3,505,24,73,48
115,30,208,186,58,22,6,685,32,76,57
116,4,166,150,145,16,2,3,49,76,49
117,23,39,5,29,34,0,1160,87,70,31
118,10,9,9,5,0,6,250,24,7,21
119,22,34,26,6,8,10,221,85,14,19
120,13,108,76,90,32,1,353,76,49,37
121,8,6,2,1,4,2,329,73,88,96
122,11,291,46,30,245,2,4,24,29,77
123,23,185,116,105,69,4,68,41,43,94
124,15,50,32,37,18,0,922,100,73,32
125,16,48,41,17,7,6,455,6,12,8
126,22,139,101,39,38,11,512,54,55,49
127,19,305,275,20,30,3,996,48,57,106
128,23,156,67,102,89,7,213,53,34,4
129,18,364,78,268,286,1,1091,12,95,116
130,2,109,94,73,15,2,576,46,2,102
131,30,196,137,110,59,10,239,66,52,2
132,11,173,72,64,101,7,932,12,69,132
133,25,385,70,304,315,9,271,0,41,128
134,28,302,95,13,207,8,686,77,86,11
135,26,87,46,45,41,11,71,34,12,50
136,8,378,377,299,1,3,703,15,16,54
137,16,361,223,201,138,4,660,61,97,52
138,13,345,220,262,125,2,1067,80,22,32
139,18,93,89,24,4,7,322,79,9,12
140,28,261,53,139,208,12,690,13,67,128
141,20,338,183,258,155,7,962,37,99,133
142,2,322,52,321,270,7,225,24,12,97
143,17,249,182,34,67,0,253,16,24,101
144,4,267,48,233,219,2,934,61,8,90
145,11,161,59,57,102,9,1169,27,7,30
146,17,36,23,8,13,2,810,46,81,80
147,10,33,30,4,3,2,80,13,6,75
148,7,13,5,7,8,6,503,26,65,30
149,17,246,4,178,242,7,790,5,97,104
150,8,132,50,99,82,12,339,26,14,88
151,22,324,55,13,269,7,939,85,3,130
152,21,334,127,227,207,4,724,30,49,6
153,4,77,3,16,74,2,1046,5,9,19
154,8,381,206,12,175,10,379,40,71,65
155,19,84,27,15,57,2,42,43,19,92
156,26,243,162,91,81,7,241,28,77,11
157,14,179,86,178,93,6,862,1,49,45
158,30,256,80,31,176,0,158,90,56,42
159,6,313,196,69,117,8,153,29,56,120
160,16,232,90,138,142,10,193,62,50,111
161,29,343,316,28,27,2,614,17,8,76
162,24,298,104,64,194,2,301,94,49,75
163,23,173,54,147,119,1,710,82,72,1
