
input orientation, VRS
DMU,Efficiency,Holidays Taken,DeadlinesMissed,Manager Score,Experience(yrs),EOY(points),TaskAssigned,DeadlinesMet,EOM points (agg),TaskCompleted,number of EOM,VRS
1.000000,1.000000,0.032552,0.001574,0.000000,0.000000,0.018319,0.002016,0.000000,0.002299,0.000000,0.000000,-3.375349
2.000000,0.757532,0.058351,0.000656,0.000000,0.212321,0.000000,0.004728,0.000000,0.003043,0.000000,0.000000,-8.682567
3.000000,1.000000,0.007407,0.000000,0.000000,0.033101,0.000000,0.003060,0.002739,0.000000,0.002325,0.000000,-2.809734
4.000000,1.000000,0.004944,0.322702,0.000000,0.014689,0.000000,0.000000,0.000000,0.001305,0.000951,0.000000,-0.803638
5.000000,0.078099,0.009633,0.000809,0.000000,0.000000,0.000000,0.000000,0.000000,0.000043,0.000000,0.000000,0.056614
6.000000,0.150449,0.004654,0.008155,0.000000,0.000000,0.001814,0.000524,0.000000,0.000200,0.000000,0.000000,-0.232272
7.000000,1.000000,0.015794,0.009149,0.000000,0.000000,0.036613,0.000000,0.000000,0.000000,0.000000,0.298637,-5.805595
8.000000,0.163220,0.004576,0.018006,0.000000,0.000000,0.000000,0.000019,0.000000,0.000115,0.000000,0.000000,0.067141
9.000000,0.338987,0.004874,0.016379,0.000000,0.000000,0.000000,0.001690,0.001797,0.000267,0.000000,0.206300,-2.648610
10.000000,0.142085,0.006106,0.001604,0.000929,0.000000,0.000000,0.000735,0.000581,0.000976,0.000000,0.000000,-1.071697
11.000000,0.408812,0.009118,0.001951,0.000000,0.000000,0.037760,0.003397,0.000000,0.000000,0.000000,0.021926,-3.977255
12.000000,1.000000,0.019342,0.005400,0.000000,0.030425,0.000000,0.005845,0.004097,0.000728,0.000000,0.000000,-3.155070
13.000000,1.000000,0.003323,0.005448,0.086018,0.000000,0.000000,0.003812,0.000000,0.004494,0.000000,0.000000,-12.841204
14.000000,0.556253,0.008786,0.021296,0.000000,0.000000,0.021016,0.000000,0.000000,0.000480,0.000000,0.000000,-1.879644
15.000000,0.061686,0.003171,0.011783,0.000000,0.000000,0.000000,0.000000,0.000000,0.000073,0.000000,0.000000,0.048303
16.000000,1.000000,0.006059,0.001964,0.000000,0.022114,0.000000,0.000000,0.008328,0.000925,0.000000,0.033288,-3.087703
17.000000,1.000000,0.072292,0.006689,0.000932,0.000000,0.018012,0.000000,0.000000,0.000461,0.000000,0.000000,-1.003457
18.000000,0.288046,0.005984,0.061424,0.001854,0.000000,0.000000,0.000000,0.000000,0.000167,0.000000,0.000000,0.071004
19.000000,0.185032,0.006054,0.012642,0.000000,0.000000,0.000000,0.000769,0.000000,0.000272,0.000000,0.000000,-0.142143
20.000000,0.219899,0.014708,0.001686,0.000000,0.000000,0.000000,0.000616,0.000000,0.000000,0.000000,0.070077,-0.692681
21.000000,1.000000,0.030571,0.002161,0.000000,0.029179,0.000000,0.006579,0.000000,0.000177,0.000000,0.203196,-4.069978
22.000000,0.513829,0.007990,0.001844,0.402581,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-39.341733
23.000000,0.166431,0.010055,0.001726,0.000000,0.004691,0.011365,0.000000,0.000000,0.000065,0.000000,0.000000,-0.914257
24.000000,1.000000,0.007236,0.099365,0.007627,0.000000,0.000000,0.000000,0.000150,0.000000,0.004843,0.527948,-6.208005
25.000000,1.000000,0.009209,0.026329,0.011225,0.000000,0.000000,0.000000,0.000000,0.010209,0.000000,0.000000,-11.538531
26.000000,0.310785,0.017556,0.002308,0.000000,0.000000,0.001726,0.000000,0.002584,0.001697,0.000000,0.000000,-1.775582
27.000000,0.656286,0.083333,0.000000,0.004667,0.000000,0.000000,0.005110,0.001277,0.000413,0.000000,0.145975,-2.776434
28.000000,0.097317,0.010364,0.000838,0.000000,0.000000,0.000000,0.000094,0.000000,0.000069,0.000000,0.000000,0.035289
29.000000,0.107493,0.002253,0.031634,0.000926,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040831
30.000000,0.317695,0.024390,0.000000,0.009162,0.000000,0.000000,0.002264,0.000309,0.000000,0.000000,0.000000,-1.207262
31.000000,1.000000,0.038276,0.042194,0.000000,0.000000,0.000000,0.000000,0.000000,0.001224,0.003520,0.000000,-0.621770
32.000000,0.476514,0.059269,0.004979,0.000000,0.000000,0.000000,0.000000,0.000000,0.000268,0.000000,0.000000,0.348339
33.000000,0.146860,0.005981,0.007533,0.000000,0.000000,0.000000,0.001298,0.000000,0.000224,0.000000,0.005079,-0.332895
34.000000,0.237433,0.021669,0.001534,0.000498,0.000000,0.000000,0.000212,0.000000,0.000139,0.000000,0.000000,0.033211
35.000000,1.000000,0.012017,0.003996,0.000000,0.042181,0.000000,0.002599,0.000000,0.001800,0.000000,0.005719,-3.060929
36.000000,1.000000,0.002440,0.002318,0.024725,0.000000,0.057808,0.006972,0.000000,0.000887,0.000000,0.215825,-11.174493
37.000000,1.000000,0.007451,0.002989,0.000000,0.012202,0.000000,0.000000,0.000000,0.001728,0.003225,0.081955,-3.100115
38.000000,1.000000,0.000000,0.004184,0.024406,0.036708,0.019423,0.012115,0.004821,0.000000,0.000000,0.265996,-10.976314
39.000000,1.000000,0.005894,0.000384,0.000000,0.000000,0.002181,0.000000,0.007626,0.000785,0.000000,0.037037,-2.847075
40.000000,1.000000,0.059424,0.003942,0.000000,0.000000,0.000000,0.002941,0.002882,0.000069,0.000000,0.497278,-5.531412
41.000000,1.000000,0.015991,0.019024,0.000000,0.000000,0.000000,0.002963,0.000000,0.000574,0.000000,0.000000,-0.641379
42.000000,0.097638,0.001050,0.014139,0.000000,0.000000,0.000000,0.000000,0.000151,0.000000,0.000000,0.035793,-0.308930
43.000000,0.293514,0.038062,0.001004,0.000000,0.000000,0.000000,0.003079,0.000597,0.000252,0.000000,0.111643,-1.710418
44.000000,0.361114,0.004901,0.040038,0.000000,0.000000,0.000000,0.000000,0.000000,0.001025,0.000000,0.000000,-0.719371
45.000000,1.000000,0.093257,0.008428,0.000000,0.000000,0.000000,0.000000,0.000000,0.000231,0.000000,0.062846,0.000000
46.000000,1.000000,0.006258,0.002217,0.000000,0.000000,0.000000,0.001082,0.001453,0.001526,0.000000,0.031402,-1.968119
47.000000,1.000000,0.009868,0.000758,0.005978,0.000000,0.014856,0.005452,0.002687,0.000000,0.000000,0.000000,-3.494334
48.000000,0.460990,0.011488,0.000935,0.011242,0.000000,0.000000,0.000000,0.006343,0.004239,0.000000,0.044079,-6.035677
49.000000,0.091316,0.012403,0.001042,0.000000,0.000000,0.000000,0.000000,0.000000,0.000056,0.000000,0.000000,0.072894
50.000000,1.000000,0.004943,0.213295,0.000000,0.087997,0.000000,0.000000,0.000000,0.000673,0.000000,0.083788,-2.428343
51.000000,0.197598,0.004774,0.033269,0.000000,0.000000,0.001205,0.000000,0.000000,0.000199,0.000000,0.000000,0.021503
52.000000,1.000000,0.021739,0.000000,0.000000,0.000000,0.000000,0.001467,0.000000,0.000939,0.002482,0.161865,-3.000344
53.000000,0.416369,0.024390,0.000000,0.009203,0.000000,0.000000,0.002340,0.000386,0.000000,0.000000,0.000000,-1.241906
54.000000,1.000000,0.000000,0.018868,0.237835,0.000000,0.000000,0.012650,0.000000,0.000000,0.000000,0.013974,-25.909727
55.000000,1.000000,0.020361,0.008708,0.000000,0.000000,0.052309,0.000670,0.000000,0.001505,0.000000,0.083386,-5.843361
56.000000,0.709426,0.165763,0.002390,0.004395,0.000000,0.000000,0.006055,0.000783,0.000000,0.000000,0.000000,-1.028842
57.000000,1.000000,0.006109,0.022443,0.000000,0.169898,0.254361,0.000000,0.000000,0.000917,0.000000,0.000000,-28.230915
58.000000,0.370718,0.004891,0.027060,0.000000,0.000000,0.007908,0.005199,0.000000,0.000000,0.000000,0.000000,-1.792848
59.000000,0.297218,0.009377,0.011954,0.002371,0.189745,0.000000,0.001380,0.000000,0.000000,0.000000,0.000000,-5.362090
60.000000,1.000000,0.010753,0.000000,0.000000,0.000000,0.766915,0.000000,0.000000,0.035897,0.000000,0.000000,-109.444830
61.000000,1.000000,0.079221,0.012223,0.000000,0.000000,0.000000,0.001411,0.000000,0.000720,0.000000,0.000000,0.096626
62.000000,0.107230,0.015475,0.001300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000070,0.000000,0.000000,0.090951
63.000000,1.000000,0.013889,0.000000,0.000000,0.015934,0.023733,0.003013,0.000000,0.000166,0.004479,0.000000,-3.999410
64.000000,1.000000,0.011846,0.002480,0.000000,0.000000,0.000000,0.000000,0.001147,0.002563,0.003200,0.079292,-3.596458
65.000000,0.331628,0.000000,0.004274,0.023202,0.044848,0.000000,0.007298,0.000239,0.000004,0.000000,0.000000,-5.063220
66.000000,0.262876,0.006181,0.011676,0.000196,0.000000,0.000000,0.000857,0.000000,0.000285,0.000000,0.000000,-0.181740
67.000000,0.354892,0.004740,0.019265,0.000000,0.000000,0.000000,0.000000,0.000000,0.003486,0.000000,0.000000,-3.500251
68.000000,1.000000,0.047557,0.001705,0.000000,0.000000,0.000000,0.002231,0.000000,0.000000,0.000000,0.343033,-3.671795
69.000000,0.098824,0.001938,0.018131,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.032803,-0.229204
70.000000,0.467682,0.010524,0.001272,0.000000,0.162809,0.002820,0.000000,0.008576,0.003911,0.000000,0.000000,-9.236777
71.000000,0.883899,0.000000,0.071429,0.069572,0.000000,0.003432,0.001040,0.000000,0.000000,0.000000,0.000000,-6.093326
72.000000,1.000000,0.027438,0.004905,0.000000,0.000000,0.050239,0.000845,0.000000,0.000153,0.000000,0.074219,-4.514522
73.000000,0.583829,0.018874,0.002961,0.003219,0.000000,0.000904,0.002905,0.000000,0.004261,0.000000,0.000000,-4.717722
74.000000,1.000000,0.009524,0.000000,0.074163,0.000000,0.054031,0.000000,0.000000,0.000000,0.000000,0.000000,-11.279114
75.000000,1.000000,0.010417,0.000000,0.000000,0.052386,0.043900,0.002696,0.000000,0.001283,0.000000,0.118983,-7.485705
76.000000,1.000000,0.000000,0.003086,0.109047,0.256199,0.000000,0.176577,0.000000,0.003823,0.000000,0.000000,-82.533739
77.000000,1.000000,0.007535,0.000197,0.000000,0.000000,0.000000,0.000000,0.006219,0.000000,0.000000,0.237216,-3.550642
78.000000,1.000000,0.005180,0.000695,0.001660,0.000000,0.007905,0.000000,0.006299,0.000394,0.000000,0.041927,-2.571190
79.000000,0.355295,0.008889,0.003342,0.000000,0.000000,0.000000,0.000000,0.003165,0.000351,0.000000,0.000000,-0.709422
80.000000,1.000000,0.005000,0.004342,0.000000,0.055779,0.004261,0.005809,0.000000,0.000000,0.000000,0.000000,-3.190589
81.000000,0.131298,0.004980,0.020209,0.000096,0.000000,0.000000,0.000000,0.000000,0.000122,0.000000,0.000000,0.073404
82.000000,0.094978,0.015284,0.001092,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.094978
83.000000,1.000000,0.006803,0.249171,0.000000,0.000000,0.000000,0.000000,0.000000,0.001349,0.000000,0.000000,-0.347951
84.000000,0.624027,0.002983,0.012066,0.000000,0.290772,0.044756,0.000000,0.006632,0.000293,0.000000,0.000000,-12.445410
85.000000,0.052750,0.007335,0.000616,0.000000,0.000000,0.000000,0.000000,0.000000,0.000033,0.000000,0.000000,0.043112
86.000000,0.432018,0.019231,0.000000,0.044100,0.000000,0.000000,0.009502,0.000000,0.002994,0.000000,0.000000,-8.684167
87.000000,0.121795,0.016493,0.001227,0.000000,0.000000,0.001131,0.000000,0.000000,0.000083,0.000000,0.000000,0.010933
88.000000,1.000000,0.006217,0.004934,0.000000,0.034607,0.000000,0.008296,0.002881,0.001939,0.000000,0.000000,-5.319899
89.000000,0.173245,0.007075,0.012665,0.000000,0.000000,0.000000,0.000000,0.001280,0.000375,0.000000,0.000000,-0.251494
90.000000,0.393424,0.041751,0.001734,0.007651,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.302815
91.000000,0.765228,0.023551,0.002923,0.004598,0.000000,0.000000,0.003260,0.000000,0.006234,0.000000,0.001239,-6.850436
92.000000,1.000000,0.019164,0.019330,0.000000,0.032497,0.033050,0.000000,0.000000,0.000381,0.000000,0.000000,-3.182314
93.000000,0.307184,0.004578,0.039553,0.000000,0.000000,0.000000,0.000000,0.000000,0.000145,0.000000,0.024732,-0.088490
94.000000,0.070143,0.002315,0.009109,0.000000,0.000000,0.000000,0.000010,0.000000,0.000058,0.000000,0.000000,0.033964
95.000000,1.000000,0.018920,0.000394,0.072686,0.024131,0.026266,0.011166,0.000000,0.000000,0.000000,0.000000,-12.031653
96.000000,0.182069,0.005560,0.003621,0.000000,0.000000,0.012830,0.000834,0.000000,0.000056,0.000000,0.000000,-1.132786
97.000000,1.000000,0.014684,0.002304,0.000000,0.000000,0.000000,0.000000,0.010884,0.001783,0.000000,0.102056,-4.250265
98.000000,0.140423,0.012678,0.001265,0.000000,0.000000,0.007330,0.000000,0.000000,0.000051,0.000000,0.000000,-0.474154
99.000000,0.142476,0.005460,0.002772,0.000000,0.000000,0.000000,0.001769,0.000525,0.000000,0.000000,0.000000,-0.528174
100.000000,1.000000,0.009346,0.000000,0.000000,0.000000,0.011562,0.002616,0.002278,0.000000,0.004126,0.000000,-3.033041
101.000000,0.398071,0.021400,0.079525,0.000000,0.000000,0.000000,0.000000,0.000000,0.000494,0.000000,0.000000,0.326007
102.000000,0.460924,0.030955,0.000525,0.024415,0.000000,0.004620,0.005293,0.000000,0.005503,0.000000,0.000000,-8.118476
