
input orientation, VRS
DMU,Category,Original,Target,Radial,Non-radial
1.000000,Holidays Taken,21.000000,21.000000,0.000000,0.000000
1.000000,DeadlinesMissed,201.000000,201.000000,0.000000,0.000000
,Manager Score,69.000000,69.000000,0.000000,0.000000
,Experience(yrs),24.000000,24.000000,0.000000,0.000000
,EOY(points),87.000000,87.000000,0.000000,0.000000
,TaskAssigned,276.000000,276.000000,0.000000,0.000000
,DeadlinesMet,23.000000,23.000000,0.000000,0.000000
,EOM points (agg),968.000000,968.000000,0.000000,0.000000
,TaskCompleted,75.000000,75.000000,0.000000,0.000000
,number of EOM,0.000000,0.000000,0.000000,0.000000
2.000000,Holidays Taken,15.000000,11.362983,-3.637017,-0.000000
0.757532,DeadlinesMissed,190.000000,143.931114,-46.068886,-0.000000
,Manager Score,13.000000,79.040902,0.000000,66.040902
,Experience(yrs),27.000000,27.000000,0.000000,-0.000000
,EOY(points),18.000000,69.175012,0.000000,51.175012
,TaskAssigned,239.000000,239.000000,0.000000,-0.000000
,DeadlinesMet,44.000000,63.753942,0.000000,19.753942
,EOM points (agg),847.000000,846.999995,0.000000,-0.000005
,TaskCompleted,49.000000,95.068886,0.000000,46.068886
,number of EOM,1.000000,8.738186,0.000000,7.738186
3.000000,Holidays Taken,135.000000,135.000000,0.000000,0.000000
1.000000,DeadlinesMissed,38.000000,38.000000,0.000000,0.000000
,Manager Score,48.000000,48.000000,0.000000,0.000000
,Experience(yrs),27.000000,27.000000,0.000000,0.000000
,EOY(points),69.000000,69.000000,0.000000,0.000000
,TaskAssigned,384.000000,384.000000,0.000000,0.000000
,DeadlinesMet,342.000000,342.000000,0.000000,0.000000
,EOM points (agg),340.000000,340.000000,0.000000,0.000000
,TaskCompleted,346.000000,346.000000,0.000000,0.000000
,number of EOM,5.000000,5.000000,0.000000,0.000000
4.000000,Holidays Taken,137.000000,137.000000,0.000000,0.000000
1.000000,DeadlinesMissed,1.000000,1.000000,0.000000,0.000000
,Manager Score,0.000000,0.000000,0.000000,0.000000
,Experience(yrs),20.000000,20.000000,0.000000,0.000000
,EOY(points),58.000000,58.000000,0.000000,0.000000
,TaskAssigned,277.000000,277.000000,0.000000,0.000000
,DeadlinesMet,128.000000,128.000000,0.000000,0.000000
,EOM points (agg),956.000000,956.000000,0.000000,0.000000
,TaskCompleted,276.000000,276.000000,0.000000,0.000000
,number of EOM,6.000000,6.000000,0.000000,0.000000
5.000000,Holidays Taken,96.000000,7.497469,-88.502531,0.000000
0.078099,DeadlinesMissed,93.000000,7.263173,-85.736827,0.000000
,Manager Score,17.000000,78.793864,0.000000,61.793864
,Experience(yrs),12.000000,26.983948,0.000000,14.983948
,EOY(points),17.000000,71.338625,0.000000,54.338625
,TaskAssigned,93.000000,153.856572,0.000000,60.856572
,DeadlinesMet,39.000000,141.182297,0.000000,102.182297
,EOM points (agg),494.000000,494.000003,0.000000,0.000003
,TaskCompleted,0.000000,146.593400,0.000000,146.593400
,number of EOM,10.000000,10.279911,0.000000,0.279911
6.000000,Holidays Taken,122.000000,18.354825,-103.645176,0.000001
0.150449,DeadlinesMissed,53.000000,7.973817,-45.026183,0.000000
,Manager Score,51.000000,87.435481,0.000000,36.435481
,Experience(yrs),20.000000,22.603303,0.000000,2.603303
,EOY(points),77.000000,77.000000,0.000000,-0.000000
,TaskAssigned,95.000000,95.000001,0.000000,0.000001
,DeadlinesMet,41.000000,70.385722,0.000000,29.385722
,EOM points (agg),968.000000,967.999999,0.000000,-0.000001
,TaskCompleted,42.000000,87.026184,0.000000,45.026184
,number of EOM,1.000000,6.886307,0.000000,5.886307
7.000000,Holidays Taken,61.000000,61.000000,0.000000,0.000000
1.000000,DeadlinesMissed,4.000000,4.000000,0.000000,0.000000
,Manager Score,8.000000,8.000000,0.000000,0.000000
,Experience(yrs),5.000000,5.000000,0.000000,0.000000
,EOY(points),88.000000,88.000000,0.000000,0.000000
,TaskAssigned,5.000000,5.000000,0.000000,0.000000
,DeadlinesMet,0.000000,0.000000,0.000000,0.000000
,EOM points (agg),312.000000,312.000000,0.000000,0.000000
,TaskCompleted,1.000000,1.000000,0.000000,0.000000
,number of EOM,12.000000,12.000000,0.000000,0.000000
8.000000,Holidays Taken,69.000000,11.262203,-57.737797,0.000000
0.163220,DeadlinesMissed,38.000000,6.202373,-31.797627,0.000000
,Manager Score,11.000000,79.729253,0.000000,68.729253
,Experience(yrs),7.000000,26.323814,0.000000,19.323814
,EOY(points),57.000000,60.796985,0.000000,3.796985
,TaskAssigned,69.000000,68.999999,0.000000,-0.000001
,DeadlinesMet,21.000000,61.530737,0.000000,40.530737
,EOM points (agg),823.000000,822.999999,0.000000,-0.000001
,TaskCompleted,31.000000,62.797626,0.000000,31.797626
,number of EOM,4.000000,10.505182,0.000000,6.505182
9.000000,Holidays Taken,101.000000,34.237693,-66.762308,0.000000
0.338987,DeadlinesMissed,31.000000,10.508599,-20.491401,0.000000
,Manager Score,2.000000,59.889034,0.000000,57.889034
,Experience(yrs),13.000000,16.553550,0.000000,3.553550
,EOY(points),12.000000,63.518900,0.000000,51.518900
,TaskAssigned,285.000000,285.000002,0.000000,0.000002
,DeadlinesMet,151.000000,151.000001,0.000000,0.000001
,EOM points (agg),644.000000,644.000006,0.000000,0.000006
,TaskCompleted,254.000000,274.491403,0.000000,20.491403
,number of EOM,10.000000,10.000000,0.000000,0.000000
10.000000,Holidays Taken,117.000000,16.623934,-100.376066,-0.000000
0.142085,DeadlinesMissed,178.000000,25.291114,-152.708886,-0.000000
,Manager Score,70.000000,70.000000,0.000000,-0.000000
,Experience(yrs),12.000000,25.335291,0.000000,13.335291
,EOY(points),6.000000,65.354385,0.000000,59.354385
,TaskAssigned,209.000000,208.999999,0.000000,-0.000001
,DeadlinesMet,137.000000,136.999999,0.000000,-0.000001
,EOM points (agg),938.000000,937.999999,0.000000,-0.000001
,TaskCompleted,31.000000,183.708886,0.000000,152.708886
,number of EOM,2.000000,6.723994,0.000000,4.723994
11.000000,Holidays Taken,78.000000,31.887335,-46.112666,0.000000
0.408812,DeadlinesMissed,148.000000,60.504173,-87.495827,0.000000
,Manager Score,22.000000,51.107975,0.000000,29.107975
,Experience(yrs),19.000000,20.939270,0.000000,1.939270
,EOY(points),95.000000,95.000000,0.000000,-0.000000
,TaskAssigned,190.000000,189.999999,0.000000,-0.000001
,DeadlinesMet,82.000000,112.301288,0.000000,30.301288
,EOM points (agg),71.000000,258.648889,0.000000,187.648889
,TaskCompleted,42.000000,129.495826,0.000000,87.495826
,number of EOM,7.000000,7.000000,0.000000,-0.000000
12.000000,Holidays Taken,45.000000,45.000000,0.000000,0.000000
1.000000,DeadlinesMissed,24.000000,24.000000,0.000000,0.000000
,Manager Score,60.000000,60.000000,0.000000,0.000000
,Experience(yrs),28.000000,28.000000,0.000000,0.000000
,EOY(points),41.000000,41.000000,0.000000,0.000000
,TaskAssigned,307.000000,307.000000,0.000000,0.000000
,DeadlinesMet,226.000000,226.000000,0.000000,0.000000
,EOM points (agg),800.000000,800.000000,0.000000,0.000000
,TaskCompleted,283.000000,283.000000,0.000000,0.000000
,number of EOM,5.000000,5.000000,0.000000,0.000000
13.000000,Holidays Taken,137.000000,137.000000,0.000000,0.000000
1.000000,DeadlinesMissed,100.000000,100.000000,0.000000,0.000000
,Manager Score,100.000000,100.000000,0.000000,0.000000
,Experience(yrs),20.000000,20.000000,0.000000,0.000000
,EOY(points),27.000000,27.000000,0.000000,0.000000
,TaskAssigned,258.000000,258.000000,0.000000,0.000000
,DeadlinesMet,56.000000,56.000000,0.000000,0.000000
,EOM points (agg),947.000000,947.000000,0.000000,0.000000
,TaskCompleted,158.000000,158.000000,0.000000,0.000000
,number of EOM,7.000000,7.000000,0.000000,0.000000
14.000000,Holidays Taken,92.000000,51.175300,-40.824700,0.000000
0.556253,DeadlinesMissed,9.000000,5.006279,-3.993721,0.000000
,Manager Score,30.000000,81.119181,0.000000,51.119181
,Experience(yrs),0.000000,22.011653,0.000000,22.011653
,EOY(points),93.000000,93.000000,0.000000,0.000000
,TaskAssigned,19.000000,215.135891,0.000000,196.135891
,DeadlinesMet,4.000000,109.794910,0.000000,105.794910
,EOM points (agg),1003.000000,1003.000004,0.000000,0.000004
,TaskCompleted,10.000000,210.129612,0.000000,200.129612
,number of EOM,4.000000,4.619527,0.000000,0.619527
15.000000,Holidays Taken,111.000000,6.847115,-104.152885,-0.000000
0.061686,DeadlinesMissed,55.000000,3.392715,-51.607285,-0.000000
,Manager Score,35.000000,72.529216,0.000000,37.529216
,Experience(yrs),2.000000,25.703778,0.000000,23.703778
,EOY(points),50.000000,72.662563,0.000000,22.662563
,TaskAssigned,181.000000,222.071663,0.000000,41.071663
,DeadlinesMet,93.000000,207.117484,0.000000,114.117484
,EOM points (agg),183.000000,183.000000,0.000000,0.000000
,TaskCompleted,126.000000,218.678948,0.000000,92.678948
,number of EOM,9.000000,9.198874,0.000000,0.198874
16.000000,Holidays Taken,73.000000,73.000000,0.000000,0.000000
1.000000,DeadlinesMissed,284.000000,284.000000,0.000000,0.000000
,Manager Score,70.000000,70.000000,0.000000,0.000000
,Experience(yrs),25.000000,25.000000,0.000000,0.000000
,EOY(points),33.000000,33.000000,0.000000,0.000000
,TaskAssigned,294.000000,294.000000,0.000000,0.000000
,DeadlinesMet,286.000000,286.000000,0.000000,0.000000
,EOM points (agg),959.000000,959.000000,0.000000,0.000000
,TaskCompleted,10.000000,10.000000,0.000000,0.000000
,number of EOM,8.000000,8.000000,0.000000,0.000000
17.000000,Holidays Taken,13.000000,13.000000,0.000000,0.000000
1.000000,DeadlinesMissed,9.000000,9.000000,0.000000,0.000000
,Manager Score,88.000000,88.000000,0.000000,0.000000
,Experience(yrs),14.000000,14.000000,0.000000,0.000000
,EOY(points),82.000000,82.000000,0.000000,0.000000
,TaskAssigned,48.000000,48.000000,0.000000,0.000000
,DeadlinesMet,47.000000,47.000000,0.000000,0.000000
,EOM points (agg),963.000000,963.000000,0.000000,0.000000
,TaskCompleted,39.000000,39.000000,0.000000,0.000000
,number of EOM,1.000000,1.000000,0.000000,0.000000
18.000000,Holidays Taken,85.000000,24.483883,-60.516116,-0.000000
0.288046,DeadlinesMissed,8.000000,2.304365,-5.695634,-0.000000
,Manager Score,66.000000,66.000000,0.000000,-0.000000
,Experience(yrs),0.000000,22.143843,0.000000,22.143843
,EOY(points),4.000000,43.206703,0.000000,39.206703
,TaskAssigned,9.000000,133.602847,0.000000,124.602847
,DeadlinesMet,2.000000,88.212377,0.000000,86.212377
,EOM points (agg),568.000000,567.999996,0.000000,-0.000004
,TaskCompleted,1.000000,131.298482,0.000000,130.298482
,number of EOM,5.000000,7.165559,0.000000,2.165559
19.000000,Holidays Taken,90.000000,16.652891,-73.347108,-0.000000
0.185032,DeadlinesMissed,36.000000,6.661157,-29.338843,-0.000000
,Manager Score,24.000000,46.540740,0.000000,22.540740
,Experience(yrs),12.000000,20.990456,0.000000,8.990456
,EOY(points),55.000000,58.886264,0.000000,3.886264
,TaskAssigned,205.000000,204.999999,0.000000,-0.000001
,DeadlinesMet,99.000000,127.166788,0.000000,28.166788
,EOM points (agg),624.000000,623.999999,0.000000,-0.000001
,TaskCompleted,169.000000,198.338843,0.000000,29.338843
,number of EOM,4.000000,8.792980,0.000000,4.792980
20.000000,Holidays Taken,61.000000,13.413857,-47.586143,0.000000
0.219899,DeadlinesMissed,61.000000,13.413857,-47.586143,0.000000
,Manager Score,55.000000,86.980412,0.000000,31.980412
,Experience(yrs),8.000000,14.238665,0.000000,6.238665
,EOY(points),5.000000,68.682014,0.000000,63.682014
,TaskAssigned,230.000000,229.999999,0.000000,-0.000001
,DeadlinesMet,18.000000,69.543269,0.000000,51.543269
,EOM points (agg),290.000000,497.364605,0.000000,207.364605
,TaskCompleted,169.000000,216.586142,0.000000,47.586142
,number of EOM,11.000000,11.000000,0.000000,0.000000
21.000000,Holidays Taken,12.000000,12.000000,0.000000,0.000000
1.000000,DeadlinesMissed,293.000000,293.000000,0.000000,0.000000
,Manager Score,20.000000,20.000000,0.000000,0.000000
,Experience(yrs),20.000000,20.000000,0.000000,0.000000
,EOY(points),63.000000,63.000000,0.000000,0.000000
,TaskAssigned,325.000000,325.000000,0.000000,0.000000
,DeadlinesMet,119.000000,119.000000,0.000000,0.000000
,EOM points (agg),641.000000,641.000000,0.000000,0.000000
,TaskCompleted,32.000000,32.000000,0.000000,0.000000
,number of EOM,11.000000,11.000000,0.000000,0.000000
22.000000,Holidays Taken,106.000000,54.465888,-51.534112,0.000000
0.513829,DeadlinesMissed,83.000000,42.647818,-40.352182,0.000000
,Manager Score,99.000000,99.000000,0.000000,-0.000000
,Experience(yrs),19.000000,19.405076,0.000000,0.405076
,EOY(points),16.000000,80.858274,0.000000,64.858274
,TaskAssigned,100.000000,226.378376,0.000000,126.378376
,DeadlinesMet,72.000000,153.279493,0.000000,81.279493
,EOM points (agg),134.000000,485.684063,0.000000,351.684063
,TaskCompleted,17.000000,183.730558,0.000000,166.730558
,number of EOM,3.000000,8.202538,0.000000,5.202538
23.000000,Holidays Taken,84.000000,13.980197,-70.019803,-0.000000
0.166431,DeadlinesMissed,90.000000,14.978783,-75.021217,-0.000000
,Manager Score,21.000000,85.664628,0.000000,64.664628
,Experience(yrs),20.000000,20.000000,0.000000,-0.000000
,EOY(points),83.000000,82.999999,0.000000,-0.000001
,TaskAssigned,121.000000,152.113586,0.000000,31.113586
,DeadlinesMet,91.000000,132.072230,0.000000,41.072230
,EOM points (agg),667.000000,666.999994,0.000000,-0.000006
,TaskCompleted,31.000000,137.134804,0.000000,106.134804
,number of EOM,5.000000,5.300769,0.000000,0.300769
24.000000,Holidays Taken,97.000000,97.000000,0.000000,0.000000
1.000000,DeadlinesMissed,3.000000,3.000000,0.000000,0.000000
,Manager Score,89.000000,89.000000,0.000000,0.000000
,Experience(yrs),3.000000,3.000000,0.000000,0.000000
,EOY(points),21.000000,21.000000,0.000000,0.000000
,TaskAssigned,42.000000,42.000000,0.000000,0.000000
,DeadlinesMet,33.000000,33.000000,0.000000,0.000000
,EOM points (agg),243.000000,243.000000,0.000000,0.000000
,TaskCompleted,39.000000,39.000000,0.000000,0.000000
,number of EOM,12.000000,12.000000,0.000000,0.000000
25.000000,Holidays Taken,80.000000,80.000000,0.000000,0.000000
1.000000,DeadlinesMissed,10.000000,10.000000,0.000000,0.000000
,Manager Score,92.000000,92.000000,0.000000,0.000000
,Experience(yrs),26.000000,26.000000,0.000000,0.000000
,EOY(points),43.000000,43.000000,0.000000,0.000000
