
input orientation, VRS
DMU,Efficiency,Holidays Taken,DeadlinesMissed,Manager Score,Experience(yrs),EOY(points),TaskAssigned,DeadlinesMet,EOM points (agg),TaskCompleted,number of EOM,VRS
1.000000,1.000000,0.683595,0.316405,0.000000,0.000000,1.593719,0.556318,0.000000,2.225312,0.000000,0.000000,-3.375349
2.000000,0.757532,0.875267,0.124733,0.000000,5.732674,0.000000,1.129912,0.000000,2.577514,0.000000,0.000000,-8.682567
3.000000,1.000000,1.000000,0.000000,0.000000,0.893721,0.000000,1.175033,0.936660,0.000000,0.804321,0.000000,-2.809734
4.000000,1.000000,0.677298,0.322702,0.000000,0.293775,0.000000,0.000000,0.000000,1.247397,0.262466,0.000000,-0.803638
5.000000,0.078099,0.924744,0.075256,0.000000,0.000000,0.000000,0.000000,0.000000,0.021484,0.000000,0.000000,0.056614
6.000000,0.150449,0.567775,0.432225,0.000000,0.000000,0.139689,0.049773,0.000000,0.193259,0.000000,0.000000,-0.232272
7.000000,1.000000,0.963405,0.036595,0.000000,0.000000,3.221950,0.000000,0.000000,0.000000,0.000000,3.583645,-5.805595
8.000000,0.163220,0.315758,0.684242,0.000000,0.000000,0.000000,0.001308,0.000000,0.094771,0.000000,0.000000,0.067141
9.000000,0.338987,0.492238,0.507762,0.000000,0.000000,0.000000,0.481570,0.271390,0.171640,0.000000,2.062997,-2.648610
10.000000,0.142085,0.714404,0.285596,0.065052,0.000000,0.000000,0.153633,0.079560,0.915538,0.000000,0.000000,-1.071697
11.000000,0.408812,0.711193,0.288807,0.000000,0.000000,3.587189,0.645397,0.000000,0.000000,0.000000,0.153480,-3.977255
12.000000,1.000000,0.870394,0.129606,0.000000,0.851891,0.000000,1.794518,0.925925,0.582736,0.000000,0.000000,-3.155070
13.000000,1.000000,0.455205,0.544795,8.601810,0.000000,0.000000,0.983474,0.000000,4.255920,0.000000,0.000000,-12.841204
14.000000,0.556253,0.808340,0.191660,0.000000,0.000000,1.954447,0.000000,0.000000,0.481450,0.000000,0.000000,-1.879644
15.000000,0.061686,0.351952,0.648048,0.000000,0.000000,0.000000,0.000000,0.000000,0.013383,0.000000,0.000000,0.048303
16.000000,1.000000,0.442307,0.557693,0.000000,0.552857,0.000000,0.000000,2.381734,0.886810,0.000000,0.266301,-3.087703
17.000000,1.000000,0.939796,0.060204,0.082031,0.000000,1.477011,0.000000,0.000000,0.444415,0.000000,0.000000,-1.003457
18.000000,0.288046,0.508608,0.491392,0.122356,0.000000,0.000000,0.000000,0.000000,0.094685,0.000000,0.000000,0.071004
19.000000,0.185032,0.544879,0.455121,0.000000,0.000000,0.000000,0.157698,0.000000,0.169478,0.000000,0.000000,-0.142143
20.000000,0.219899,0.897174,0.102826,0.000000,0.000000,0.000000,0.141738,0.000000,0.000000,0.000000,0.770843,-0.692681
21.000000,1.000000,0.366853,0.633147,0.000000,0.583585,0.000000,2.138038,0.000000,0.113194,0.000000,2.235161,-4.069978
22.000000,0.513829,0.846958,0.153042,39.855563,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-39.341733
23.000000,0.166431,0.844648,0.155352,0.000000,0.093812,0.943312,0.000000,0.000000,0.043564,0.000000,0.000000,-0.914257
24.000000,1.000000,0.701906,0.298094,0.678785,0.000000,0.000000,0.000000,0.004944,0.000000,0.188894,6.335381,-6.208005
25.000000,1.000000,0.736706,0.263294,1.032706,0.000000,0.000000,0.000000,0.000000,11.505825,0.000000,0.000000,-11.538531
26.000000,0.310785,0.789998,0.210002,0.000000,0.000000,0.101816,0.000000,0.273894,1.710657,0.000000,0.000000,-1.775582
27.000000,0.656286,1.000000,0.000000,0.336017,0.000000,0.000000,1.359154,0.222178,0.201596,0.000000,1.313776,-2.776434
28.000000,0.097317,0.911990,0.088010,0.000000,0.000000,0.000000,0.011938,0.000000,0.050090,0.000000,0.000000,0.035289
29.000000,0.107493,0.335689,0.664311,0.066663,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040831
30.000000,0.317695,1.000000,0.000000,0.778756,0.000000,0.000000,0.722103,0.024099,0.000000,0.000000,0.000000,-1.207262
31.000000,1.000000,0.535865,0.464135,0.000000,0.000000,0.000000,0.000000,0.000000,0.914298,0.707471,0.000000,-0.621770
32.000000,0.476514,0.711224,0.288776,0.000000,0.000000,0.000000,0.000000,0.000000,0.128175,0.000000,0.000000,0.348339
33.000000,0.146860,0.645934,0.354066,0.000000,0.000000,0.000000,0.358221,0.000000,0.080905,0.000000,0.040628,-0.332895
34.000000,0.237433,0.845096,0.154904,0.046330,0.000000,0.000000,0.043289,0.000000,0.114603,0.000000,0.000000,0.033211
35.000000,1.000000,0.420610,0.579390,0.000000,1.181069,0.000000,0.873156,0.000000,1.943790,0.000000,0.062913,-3.060929
36.000000,1.000000,0.297699,0.702301,2.225272,0.000000,5.144898,2.258990,0.000000,0.602903,0.000000,1.942429,-11.174493
37.000000,1.000000,0.961146,0.038854,0.000000,0.305055,0.000000,0.000000,0.000000,1.900360,0.993192,0.901508,-3.100115
38.000000,1.000000,0.000000,1.000000,2.050093,0.587331,1.495597,4.470608,0.978717,0.000000,0.000000,2.393968,-10.976314
39.000000,1.000000,0.854660,0.145340,0.000000,0.000000,0.130857,0.000000,2.638620,0.818342,0.000000,0.259256,-2.847075
40.000000,1.000000,0.534813,0.465187,0.000000,0.000000,0.000000,0.538292,0.478428,0.044638,0.000000,5.470054,-5.531412
41.000000,1.000000,0.143923,0.856077,0.000000,0.000000,0.000000,1.146744,0.000000,0.494635,0.000000,0.000000,-0.641379
42.000000,0.097638,0.137511,0.862489,0.000000,0.000000,0.000000,0.000000,0.012843,0.000000,0.000000,0.393726,-0.308930
43.000000,0.293514,0.837356,0.162644,0.000000,0.000000,0.000000,0.822040,0.078768,0.098342,0.000000,1.004783,-1.710418
44.000000,0.361114,0.519548,0.480452,0.000000,0.000000,0.000000,0.000000,0.000000,1.080485,0.000000,0.000000,-0.719371
45.000000,1.000000,0.932573,0.067427,0.000000,0.000000,0.000000,0.000000,0.000000,0.245847,0.000000,0.754153,0.000000
46.000000,1.000000,0.844808,0.155192,0.000000,0.000000,0.000000,0.360441,0.405435,1.825422,0.000000,0.376820,-1.968119
47.000000,1.000000,0.759840,0.240160,0.561893,0.000000,0.906192,2.120817,0.905433,0.000000,0.000000,0.000000,-3.494334
48.000000,0.460990,0.781174,0.218826,0.438431,0.000000,0.000000,0.000000,1.541285,4.340635,0.000000,0.176316,-6.035677
49.000000,0.091316,0.930194,0.069806,0.000000,0.000000,0.000000,0.000000,0.000000,0.018423,0.000000,0.000000,0.072894
50.000000,1.000000,0.573409,0.426591,0.000000,2.287934,0.000000,0.000000,0.000000,0.386316,0.000000,0.754093,-2.428343
51.000000,0.197598,0.434421,0.565579,0.000000,0.000000,0.090409,0.000000,0.000000,0.085686,0.000000,0.000000,0.021503
52.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.500332,0.000000,0.800554,0.757075,1.942383,-3.000344
53.000000,0.416369,1.000000,0.000000,0.855833,0.000000,0.000000,0.737227,0.065215,0.000000,0.000000,0.000000,-1.241906
54.000000,1.000000,0.000000,1.000000,23.545680,0.000000,0.000000,3.238284,0.000000,0.000000,0.000000,0.125763,-25.909727
55.000000,1.000000,0.712650,0.287350,0.000000,0.000000,4.289370,0.050902,0.000000,1.585841,0.000000,0.917247,-5.843361
56.000000,0.709426,0.663051,0.336949,0.268099,0.000000,0.000000,1.344101,0.126068,0.000000,0.000000,0.000000,-1.028842
57.000000,1.000000,0.910226,0.089774,0.000000,3.058168,25.436144,0.000000,0.000000,0.736603,0.000000,0.000000,-28.230915
58.000000,0.370718,0.621161,0.378839,0.000000,0.000000,0.608922,1.554644,0.000000,0.000000,0.000000,0.000000,-1.792848
59.000000,0.297218,0.450119,0.549881,0.201546,5.312867,0.000000,0.144895,0.000000,0.000000,0.000000,0.000000,-5.362090
60.000000,1.000000,1.000000,0.000000,0.000000,0.000000,75.157651,0.000000,0.000000,35.287180,0.000000,0.000000,-109.444830
61.000000,1.000000,0.792214,0.207786,0.000000,0.000000,0.000000,0.310419,0.000000,0.592955,0.000000,0.000000,0.096626
62.000000,0.107230,0.928501,0.071499,0.000000,0.000000,0.000000,0.000000,0.000000,0.016279,0.000000,0.000000,0.090951
63.000000,1.000000,1.000000,0.000000,0.000000,0.414294,2.207190,1.033517,0.000000,0.108085,1.236325,0.000000,-3.999410
64.000000,1.000000,0.995040,0.004960,0.000000,0.000000,0.000000,0.000000,0.113511,2.598895,1.091129,0.792922,-3.596458
65.000000,0.331628,0.000000,1.000000,2.018559,1.166049,0.000000,2.174705,0.032921,0.002614,0.000000,0.000000,-5.063220
66.000000,0.262876,0.661402,0.338598,0.007438,0.000000,0.000000,0.215076,0.000000,0.222103,0.000000,0.000000,-0.181740
67.000000,0.354892,0.711022,0.288978,0.000000,0.000000,0.000000,0.000000,0.000000,3.855143,0.000000,0.000000,-3.500251
68.000000,1.000000,0.665793,0.334207,0.000000,0.000000,0.000000,0.555403,0.000000,0.000000,0.000000,4.116392,-3.671795
69.000000,0.098824,0.184083,0.815917,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.328028,-0.229204
70.000000,0.467682,0.852466,0.147534,0.000000,4.558641,0.191751,0.000000,0.926229,4.027839,0.000000,0.000000,-9.236777
71.000000,0.883899,0.000000,1.000000,6.539727,0.000000,0.236777,0.200721,0.000000,0.000000,0.000000,0.000000,-6.093326
72.000000,1.000000,0.548761,0.451239,0.000000,0.000000,4.471271,0.187572,0.000000,0.113485,0.000000,0.742194,-4.514522
73.000000,0.583829,0.490722,0.509278,0.144838,0.000000,0.050628,0.581073,0.000000,4.525012,0.000000,0.000000,-4.717722
74.000000,1.000000,1.000000,0.000000,7.416313,0.000000,4.862801,0.000000,0.000000,0.000000,0.000000,0.000000,-11.279114
75.000000,1.000000,1.000000,0.000000,0.000000,1.414431,4.214386,0.709111,0.000000,1.195909,0.000000,0.951868,-7.485705
76.000000,1.000000,0.000000,1.000000,8.069475,6.661163,0.000000,66.746061,0.000000,2.057042,0.000000,0.000000,-82.533739
77.000000,1.000000,0.949457,0.050543,0.000000,0.000000,0.000000,0.000000,1.704047,0.000000,0.000000,2.846594,-3.550642
78.000000,1.000000,0.761512,0.238488,0.126180,0.000000,0.521700,0.000000,2.160516,0.343521,0.000000,0.419273,-2.571190
79.000000,0.355295,0.568909,0.431091,0.000000,0.000000,0.000000,0.000000,0.930379,0.134338,0.000000,0.000000,-0.709422
80.000000,1.000000,0.175003,0.824997,0.000000,1.673363,0.362143,2.155083,0.000000,0.000000,0.000000,0.000000,-3.190589
81.000000,0.131298,0.717070,0.282930,0.003727,0.000000,0.000000,0.000000,0.000000,0.054167,0.000000,0.000000,0.073404
82.000000,0.094978,0.871179,0.128821,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.094978
83.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.347951,0.000000,0.000000,-0.347951
84.000000,0.624027,0.396690,0.603310,0.000000,7.850847,3.311942,0.000000,1.836954,0.069695,0.000000,0.000000,-12.445410
85.000000,0.052750,0.931600,0.068400,0.000000,0.000000,0.000000,0.000000,0.000000,0.009637,0.000000,0.000000,0.043112
86.000000,0.432018,1.000000,0.000000,4.013102,0.000000,0.000000,2.537130,0.000000,2.565954,0.000000,0.000000,-8.684167
87.000000,0.121795,0.857641,0.142359,0.000000,0.000000,0.081433,0.000000,0.000000,0.029429,0.000000,0.000000,0.010933
88.000000,1.000000,0.422723,0.577277,0.000000,0.830562,0.000000,3.028110,0.518615,1.942611,0.000000,0.000000,-5.319899
89.000000,0.173245,0.417412,0.582588,0.000000,0.000000,0.000000,0.000000,0.099852,0.324887,0.000000,0.000000,-0.251494
90.000000,0.393424,0.918519,0.081481,0.696239,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.302815
91.000000,0.765228,0.447469,0.552531,0.193131,0.000000,0.000000,0.788850,0.000000,6.626248,0.000000,0.007436,-6.850436
92.000000,1.000000,0.594078,0.405922,0.000000,0.909912,3.073673,0.000000,0.000000,0.198729,0.000000,0.000000,-3.182314
93.000000,0.307184,0.169378,0.830622,0.000000,0.000000,0.000000,0.000000,0.000000,0.123622,0.000000,0.272052,-0.088490
94.000000,0.070143,0.298626,0.701374,0.000000,0.000000,0.000000,0.001170,0.000000,0.035009,0.000000,0.000000,0.033964
95.000000,1.000000,0.946003,0.053997,7.050516,0.482615,1.969965,3.528556,0.000000,0.000000,0.000000,0.000000,-12.031653
96.000000,0.182069,0.811721,0.188279,0.000000,0.000000,1.129000,0.160137,0.000000,0.025718,0.000000,0.000000,-1.132786
97.000000,1.000000,0.396471,0.603529,0.000000,0.000000,0.000000,0.000000,2.862540,1.469221,0.000000,0.918503,-4.250265
98.000000,0.140423,0.849421,0.150579,0.000000,0.000000,0.593753,0.000000,0.000000,0.020824,0.000000,0.000000,-0.474154
99.000000,0.142476,0.589689,0.410311,0.000000,0.000000,0.000000,0.580354,0.090296,0.000000,0.000000,0.000000,-0.528174
100.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.133067,0.920909,0.662998,0.000000,1.316068,0.000000,-3.033041
101.000000,0.398071,0.363803,0.636197,0.000000,0.000000,0.000000,0.000000,0.000000,0.072064,0.000000,0.000000,0.326007
102.000000,0.460924,0.959590,0.040410,2.221789,0.000000,0.332610,1.122074,0.000000,4.902927,0.000000,0.000000,-8.118476
103.000000,1.000000,1.000000,0.000000,1.073348,0.000000,0.000000,1.325723,0.310085,0.000000,0.000000,0.000000,-1.709156
104.000000,1.000000,0.093545,0.906455,0.000000,0.000000,0.000000,0.984702,0.655506,0.795430,0.000000,0.000000,-1.435637
105.000000,0.135871,0.851566,0.148434,0.000000,0.000000,0.000000,0.029165,0.000000,0.056713,0.000000,0.000000,0.049994
106.000000,0.358730,0.000000,1.000000,0.000000,13.943911,0.000000,0.275535,0.396234,0.000000,0.000000,1.985810,-16.242761
107.000000,1.000000,0.427132,0.572868,0.000000,0.000000,3.914091,0.000000,0.000000,0.003448,0.000000,0.000000,-2.917539
